Condition,ReadCode,CleansedReadCode,Term
Cerebrovascular disease,G641-1,G641.11,Cerebral embolus
Cerebrovascular disease,^ESCTCE372845,,Cerebral embolus
Cerebrovascular disease,G641,G641.00,Cerebral embolus
Cerebrovascular disease,G6410,G641000,Cerebral infarction due to embolism of cerebral arteries
Cerebrovascular disease,G64z,G64z.00,Cerebral infarction
Cerebrovascular disease,G64-2,G64..12,Cerebral infarction
Cerebrovascular disease,Gyu64,Gyu6400,Cerebral infarction
Cerebrovascular disease,G64z-1,G64z.11,Brainstem infarction NOS
Cerebrovascular disease,^ESCTIN405705,,Brainstem infarction NOS
Cerebrovascular disease,^ESCTBR405704,,Brainstem infarction NOS
Cerebrovascular disease,G64z0,G64z000,Brainstem infarction NOS
Cerebrovascular disease,^ESCTBR405703,,Brainstem infarction NOS
Cerebrovascular disease,G64z-2,G64z.12,Cerebellar infarction
Cerebrovascular disease,G64z-1,G64z.11,Brain stem infarction
Cerebrovascular disease,^ESCTIN405705,,Brain stem infarction
Cerebrovascular disease,^ESCTBR405704,,Brain stem infarction
Cerebrovascular disease,G64z0,G64z000,Brain stem infarction
Cerebrovascular disease,^ESCTBR405703,,Brain stem infarction
Cerebrovascular disease,G64z1,G64z100,Wallenberg's syndrome
Cerebrovascular disease,^ESCTLM377802,,Wallenberg's syndrome
Cerebrovascular disease,^ESCTPO377798,,Wallenberg's syndrome
Cerebrovascular disease,G64z1-1,G64z111,Wallenberg's syndrome
Cerebrovascular disease,^ESCTIN377801,,Wallenberg's syndrome
Cerebrovascular disease,G64z1,G64z100,Lateral medullary syndrome
Cerebrovascular disease,^ESCTLM377802,,Lateral medullary syndrome
Cerebrovascular disease,^ESCTPO377798,,Lateral medullary syndrome
Cerebrovascular disease,G64z1-1,G64z111,Lateral medullary syndrome
Cerebrovascular disease,^ESCTIN377801,,Lateral medullary syndrome
Cerebrovascular disease,G64z2,G64z200,Left sided cerebral infarction
Cerebrovascular disease,G64z3,G64z300,Right sided cerebral infarction
Cerebrovascular disease,^ESCTBA683706,,Infarction of basal ganglia
Cerebrovascular disease,^ESCTBA683705,,Infarction of basal ganglia
Cerebrovascular disease,G64z4,G64z400,Infarction of basal ganglia
Cerebrovascular disease,G65y,G65y.00,Transient cerebral ischaemia
Cerebrovascular disease,Fyu55,Fyu5500,Transient cerebral ischaemia
Cerebrovascular disease,G65z,G65z.00,Transient cerebral ischaemia
Cerebrovascular disease,^ESCTTI549220,,Transient cerebral ischaemia
Cerebrovascular disease,^ESCTTE549218,,Transient cerebral ischaemia
Cerebrovascular disease,^ESCTTR549222,,Transient cerebral ischaemia
Cerebrovascular disease,G65-2,G65..12,Transient cerebral ischaemia
Cerebrovascular disease,G65,G65..00,Transient cerebral ischaemia
Cerebrovascular disease,^ESCT1192012,,Transient cerebral ischaemia
Cerebrovascular disease,G65zz,G65zz00,Transient cerebral ischaemia
Cerebrovascular disease,^ESCTTI549217,,Transient cerebral ischaemia
Cerebrovascular disease,G65-99,G65..99,Transient cerebral ischaemia
Cerebrovascular disease,G65y,G65y.00,Transient ischaemic attack
Cerebrovascular disease,Fyu55,Fyu5500,Transient ischaemic attack
Cerebrovascular disease,G65z,G65z.00,Transient ischaemic attack
Cerebrovascular disease,^ESCTTI549220,,Transient ischaemic attack
Cerebrovascular disease,^ESCTTE549218,,Transient ischaemic attack
Cerebrovascular disease,^ESCTTR549222,,Transient ischaemic attack
Cerebrovascular disease,G65-2,G65..12,Transient ischaemic attack
Cerebrovascular disease,G65,G65..00,Transient ischaemic attack
Cerebrovascular disease,^ESCT1192012,,Transient ischaemic attack
Cerebrovascular disease,G65zz,G65zz00,Transient ischaemic attack
Cerebrovascular disease,^ESCTTI549217,,Transient ischaemic attack
Cerebrovascular disease,G65-99,G65..99,Transient ischaemic attack
Cerebrovascular disease,G65-3,G65..13,Vertebro-basilar insufficiency
Cerebrovascular disease,^ESCTVE354078,,Vertebro-basilar insufficiency
Cerebrovascular disease,G650,G650.00,Vertebro-basilar insufficiency
Cerebrovascular disease,G656,G656.00,Vertebro-basilar insufficiency
Cerebrovascular disease,G650-1,G650.11,Vertebro-basilar insufficiency
Cerebrovascular disease,G65-3,G65..13,Insufficiency - basilar artery
Cerebrovascular disease,^ESCTVE354078,,Insufficiency - basilar artery
Cerebrovascular disease,G650,G650.00,Insufficiency - basilar artery
