Condition,ReadCode,CleansedReadCode,Term
Inflammatory diseases of the female pelvic organs,^ESCT1270445,,Disorder of uterus NOS
Inflammatory diseases of the female pelvic organs,K54,K54..00,Disorders of the uterus NEC
Inflammatory diseases of the female pelvic organs,K54y,K54y.00,Other uterine disorders NOS
Inflammatory diseases of the female pelvic organs,K54yz,K54yz00,Other uterine disorder NOS
Inflammatory diseases of the female pelvic organs,K410z,K410z00,Acute uterine inflammatory diseases NOS
Inflammatory diseases of the female pelvic organs,^ESCTUT296271,,Uterine inflammatory disease
Inflammatory diseases of the female pelvic organs,K4103,K410300,Acute perimetritis
Inflammatory diseases of the female pelvic organs,K4102,K410200,Acute myometritis
Inflammatory diseases of the female pelvic organs,K410,K410.00,Acute uterine inflammatory disease
Inflammatory diseases of the female pelvic organs,K4105,K410500,Subacute endometritis
Inflammatory diseases of the female pelvic organs,K4106,K410600,Subacute endomyometritis
Inflammatory diseases of the female pelvic organs,K4107,K410700,Subacute myometritis
Inflammatory diseases of the female pelvic organs,K4108,K410800,Subacute perimetritis
Inflammatory diseases of the female pelvic organs,K41z4,K41z400,Pyometra unspecified
Inflammatory diseases of the female pelvic organs,K41,K41..00,Uterine inflammatory diseases excluding the cervix
Inflammatory diseases of the female pelvic organs,K4100,K410000,Acute endometritis
Inflammatory diseases of the female pelvic organs,K4101,K410100,Acute endomyometritis
Inflammatory diseases of the female pelvic organs,^ESCTPY394618,,Pyometrium
Inflammatory diseases of the female pelvic organs,K4104,K410400,Acute pyometra or uterine abscess
Inflammatory diseases of the female pelvic organs,^ESCTUT269640,,Uterine disease
Inflammatory diseases of the female pelvic organs,K411z,K411z00,Chronic uterine inflammatory disease NOS
Inflammatory diseases of the female pelvic organs,K411,K411.00,Chronic uterine inflammatory disease
Inflammatory diseases of the female pelvic organs,K4114,K411400,Chronic pyometra
Inflammatory diseases of the female pelvic organs,K4111,K411100,Chronic endomyometritis
Inflammatory diseases of the female pelvic organs,K4110,K411000,Chronic endometritis
Inflammatory diseases of the female pelvic organs,K4112,K411200,Chronic myometritis
Inflammatory diseases of the female pelvic organs,K4113,K411300,Chronic perimetritis
Inflammatory diseases of the female pelvic organs,^ESCT1222087,,Chronic metritis
Inflammatory diseases of the female pelvic organs,G80z0,G80z000,Phlebitis NOS
Inflammatory diseases of the female pelvic organs,K41z3,K41z300,Perimetritis unspecified
Inflammatory diseases of the female pelvic organs,^ESCTIN350079,,Inflammation of vein
Inflammatory diseases of the female pelvic organs,^ESCTME274380,,Metritis
Inflammatory diseases of the female pelvic organs,K4051,K405100,Pelvic cellulitis unspecified
Inflammatory diseases of the female pelvic organs,K405z,K405z00,Parametritis and pelvic cellulitis NOS
Inflammatory diseases of the female pelvic organs,K4050,K405000,Parametritis unspecified
Inflammatory diseases of the female pelvic organs,K4y,K4y..00,Other specified female pelvic inflammatory disease
Inflammatory diseases of the female pelvic organs,K40z-1,K40z.11,PID
