Condition,ReadCode,CleansedReadCode,Term
Systemic connective tissue disorders,N0003,N000300,Systemic lupus erythematosus with organ/system involvement
Systemic connective tissue disorders,N0004,N000400,Systemic lupus erythematosus with pericarditis
Systemic connective tissue disorders,^ESCTCE406029,,Cerebral lupus
Systemic connective tissue disorders,N0006-1,N000611,Cerebral lupus
Systemic connective tissue disorders,N0006,N000600,Cerebral lupus
Systemic connective tissue disorders,^ESCTLU406027,,Cerebral lupus
Systemic connective tissue disorders,N000z,N000z00,Systemic lupus erythematosus NOS
Systemic connective tissue disorders,Nyu43,Nyu4300,Systemic lupus erythematosus NOS
Systemic connective tissue disorders,^ESCTSL340060,,Systemic lupus erythematosus NOS
Systemic connective tissue disorders,N0000,N000000,Systemic lupus erythematosus NOS
Systemic connective tissue disorders,N000,N000.00,Systemic lupus erythematosus NOS
Systemic connective tissue disorders,N000z,N000z00,[X]Other forms of systemic lupus erythematosus
Systemic connective tissue disorders,Nyu43,Nyu4300,[X]Other forms of systemic lupus erythematosus
Systemic connective tissue disorders,^ESCTSL340060,,[X]Other forms of systemic lupus erythematosus
Systemic connective tissue disorders,N0000,N000000,[X]Other forms of systemic lupus erythematosus
Systemic connective tissue disorders,N000,N000.00,[X]Other forms of systemic lupus erythematosus
Systemic connective tissue disorders,,,Systemic lupus activity measure
Systemic connective tissue disorders,,,SLAM - Systemic lupus activity measure
Systemic connective tissue disorders,,,Systemic lupus erythematosus disease activity index
Systemic connective tissue disorders,^ESCTMY477095,,Myopathy due to scleroderma
Systemic connective tissue disorders,F3966,F396600,Myopathy due to scleroderma
Systemic connective tissue disorders,^ESCTSC478240,,Lung disease with systemic sclerosis
Systemic connective tissue disorders,H572,H572.00,Lung disease with systemic sclerosis
Systemic connective tissue disorders,^ESCTSC478241,,Lung disease with systemic sclerosis
Systemic connective tissue disorders,K0J0,K0J0.00,Renal involvement in scleroderma
Systemic connective tissue disorders,Nyu45,Nyu4500,Scleroderma
Systemic connective tissue disorders,^ESCTSC394912,,Scleroderma
Systemic connective tissue disorders,^ESCTTH394911,,Scleroderma
Systemic connective tissue disorders,^ESCTSY394910,,Scleroderma
Systemic connective tissue disorders,N001,N001.00,Scleroderma
Systemic connective tissue disorders,N001-2,N001.12,Scleroderma
Systemic connective tissue disorders,^ESCTSS394913,,Scleroderma
Systemic connective tissue disorders,^ESCTSY585080,,Acrosclerosis
Systemic connective tissue disorders,^ESCTLI585081,,Acrosclerosis
Systemic connective tissue disorders,N001-1,N001.11,Acrosclerosis
Systemic connective tissue disorders,Nyu45,Nyu4500,Systemic sclerosis
Systemic connective tissue disorders,^ESCTSC394912,,Systemic sclerosis
Systemic connective tissue disorders,^ESCTTH394911,,Systemic sclerosis
Systemic connective tissue disorders,^ESCTSY394910,,Systemic sclerosis
Systemic connective tissue disorders,N001,N001.00,Systemic sclerosis
Systemic connective tissue disorders,N001-2,N001.12,Systemic sclerosis
Systemic connective tissue disorders,^ESCTSS394913,,Systemic sclerosis
Systemic connective tissue disorders,^ESCTPS728857,,Progressive systemic sclerosis
Systemic connective tissue disorders,N0010,N001000,Progressive systemic sclerosis
Systemic connective tissue disorders,^ESCTCA301292,,CREST syndrome
Systemic connective tissue disorders,^ESCTCR301295,,CREST syndrome
Systemic connective tissue disorders,^ESCTCR301296,,CREST syndrome
Systemic connective tissue disorders,^ESCTCA301299,,CREST syndrome
Systemic connective tissue disorders,N0011,N001100,CREST syndrome
Systemic connective tissue disorders,^ESCTCA301291,,CREST syndrome
Systemic connective tissue disorders,^ESCTCA301298,,CREST syndrome
Systemic connective tissue disorders,^ESCTCA301297,,CREST syndrome
Systemic connective tissue disorders,^ESCTCA301300,,CREST syndrome
Systemic connective tissue disorders,^ESCTCR301294,,CREST syndrome
Systemic connective tissue disorders,^ESCTCR301293,,CREST syndrome
Systemic connective tissue disorders,N0012,N001200,Systemic sclerosis induced by drugs and chemicals
Systemic connective tissue disorders,Nyu45,Nyu4500,[X]Other forms of systemic sclerosis
Systemic connective tissue disorders,^ESCTSC394912,,[X]Other forms of systemic sclerosis
Systemic connective tissue disorders,^ESCTTH394911,,[X]Other forms of systemic sclerosis
Systemic connective tissue disorders,^ESCTSY394910,,[X]Other forms of systemic sclerosis
Systemic connective tissue disorders,N001,N001.00,[X]Other forms of systemic sclerosis
Systemic connective tissue disorders,N001-2,N001.12,[X]Other forms of systemic sclerosis
Systemic connective tissue disorders,^ESCTSS394913,,[X]Other forms of systemic sclerosis
