Condition,ReadCode,CleansedReadCode,Term
Inflammatory polyarthropathies,C34y500,C34y500,Gouty tophi of hand
Inflammatory polyarthropathies,C34yz00,C34yz00,Other specified gouty manifestation NOS
Inflammatory polyarthropathies,C34z.00,C34z.00,Gout NOS
Inflammatory polyarthropathies,G557300,G557300,Gouty tophi of heart
Inflammatory polyarthropathies,N023.00,N023.00,Gouty arthritis
Inflammatory polyarthropathies,N023100,N023100,Gouty arthritis of the shoulder region
Inflammatory polyarthropathies,N023200,N023200,Gouty arthritis of the upper arm
Inflammatory polyarthropathies,N023300,N023300,Gouty arthritis of the forearm
Inflammatory polyarthropathies,N023400,N023400,Gouty arthritis of the hand
Inflammatory polyarthropathies,N023600,N023600,Gouty arthritis of the lower leg
Inflammatory polyarthropathies,N023700,N023700,Gouty arthritis of the ankle and foot
Inflammatory polyarthropathies,N023800,N023800,Gouty arthritis of toe
Inflammatory polyarthropathies,N023x00,N023x00,Gouty arthritis of multiple sites
Inflammatory polyarthropathies,N023y00,N023y00,Gouty arthritis of other specified site
Inflammatory polyarthropathies,N023z00,N023z00,Gouty arthritis NOS
Inflammatory polyarthropathies,Nyu1700,Nyu1700,[X]Other secondary gout
Inflammatory polyarthropathies,M160.00,M160.00,Psoriatic arthropathy
Inflammatory polyarthropathies,M160.11,M160.11,Psoriatic arthritis
Inflammatory polyarthropathies,M160000,M160000,Psoriasis spondylitica
Inflammatory polyarthropathies,M160100,M160100,Distal interphalangeal psoriatic arthropathy
Inflammatory polyarthropathies,M160200,M160200,Arthritis mutilans
Inflammatory polyarthropathies,M160z00,M160z00,Psoriatic arthropathy NOS
Inflammatory polyarthropathies,Nyu1300,Nyu1300,[X]Other psoriatic arthropathies
