Condition,ReadCode,CleansedReadCode,Term
Ankylosing spondylitis,2377,2377.00,O/E - ankyl.spondyl.chest def.
Ankylosing spondylitis,388p.00,388p.00,BASDAI - Bath ankylosing spondylitis disease activity index
Ankylosing spondylitis,N100.00,N100.00,Ankylosing spondylitis
Ankylosing spondylitis,N100.11,N100.11,Marie - Strumpell spondylitis
