Condition,ReadCode,CleansedReadCode,Term
Drug or alcohol misuse,9N4i.00,9N4i.00,DNA - Did not attend substance misuse clinic
Drug or alcohol misuse,9No5.00,9No5.00,Seen in substance misuse clinic
Drug or alcohol misuse,9k5..00,9k5..00,Drug misuse - enhanced services administration
Drug or alcohol misuse,9k50.00,9k50.00,Drug misuse - enhanced service completed
Drug or alcohol misuse,9k51.00,9k51.00,Shared care drug misuse treatment - enhanced services admin
Drug or alcohol misuse,9k51.11,9k51.11,Shared care drug misuse treatment
Drug or alcohol misuse,9k52.00,9k52.00,Drug misuse treatment primary care - enhanced services admin
Drug or alcohol misuse,9k53.00,9k53.00,Pharmacy attended for drug misuse - enhanced services admin
Drug or alcohol misuse,9kS..00,9kS..00,Drug misuse assessment declined - enhanced services administ
Drug or alcohol misuse,9s...00,,Drug misuse clinic administration
Drug or alcohol misuse,E02..00,E02..00,Drug psychoses
Drug or alcohol misuse,E020.00,E020.00,Drug withdrawal syndrome
Drug or alcohol misuse,E021.00,E021.00,Drug-induced paranoia or hallucinatory states
Drug or alcohol misuse,E021000,E021000,Drug-induced paranoid state
Drug or alcohol misuse,E021100,E021100,Drug-induced hallucinosis
Drug or alcohol misuse,E021z00,E021z00,Drug-induced paranoia or hallucinatory state NOS
Drug or alcohol misuse,E022.00,E022.00,Pathological drug intoxication
Drug or alcohol misuse,E02y.00,E02y.00,Other drug psychoses
Drug or alcohol misuse,E02y000,E02y000,Drug-induced delirium
Drug or alcohol misuse,E02y100,E02y100,Drug-induced dementia
Drug or alcohol misuse,E02y300,E02y300,Drug-induced depressive state
Drug or alcohol misuse,E02y400,E02y400,Drug-induced personality disorder
Drug or alcohol misuse,E02yz00,E02yz00,Other drug psychoses NOS
Drug or alcohol misuse,E02z.00,E02z.00,Drug psychosis NOS
Drug or alcohol misuse,E24..00,E24..00,Drug dependence
Drug or alcohol misuse,E24..11,E24..11,Drug addiction
Drug or alcohol misuse,E240.00,E240.00,Opioid type drug dependence
Drug or alcohol misuse,E240.11,E240.11,Heroin dependence
Drug or alcohol misuse,E240.12,E240.12,Methadone dependence
Drug or alcohol misuse,E240.13,E240.13,Morphine dependence
Drug or alcohol misuse,E240.14,E240.14,Opium dependence
Drug or alcohol misuse,E240000,E240000,Unspecified opioid dependence
Drug or alcohol misuse,E240100,E240100,Continuous opioid dependence
Drug or alcohol misuse,E240200,E240200,Episodic opioid dependence
Drug or alcohol misuse,E240300,E240300,Opioid dependence in remission
Drug or alcohol misuse,E240z00,E240z00,Opioid drug dependence NOS
Drug or alcohol misuse,E241.00,E241.00,Hypnotic or anxiolytic dependence
Drug or alcohol misuse,E241.11,E241.11,Anxiolytic dependence
Drug or alcohol misuse,E241.12,E241.12,Barbiturate dependence
Drug or alcohol misuse,E241.13,E241.13,Benzodiazepine dependence
Drug or alcohol misuse,E241.14,E241.14,Diazepam dependence
Drug or alcohol misuse,E241.15,E241.15,Librium dependence
Drug or alcohol misuse,E241.16,E241.16,Sedative dependence
Drug or alcohol misuse,E241.17,E241.17,Valium dependence
Drug or alcohol misuse,E241000,E241000,"Hypnotic or anxiolytic dependence, unspecified"
Drug or alcohol misuse,E241100,E241100,"Hypnotic or anxiolytic dependence, continuous"
Drug or alcohol misuse,E241200,E241200,"Hypnotic or anxiolytic dependence, episodic"
Drug or alcohol misuse,E241300,E241300,Hypnotic or anxiolytic dependence in remission
Drug or alcohol misuse,E241z00,E241z00,Hypnotic or anxiolytic dependence NOS
Drug or alcohol misuse,E242.00,E242.00,Cocaine type drug dependence
Drug or alcohol misuse,E242000,E242000,"Cocaine dependence, unspecified"
Drug or alcohol misuse,E242100,E242100,"Cocaine dependence, continuous"
Drug or alcohol misuse,E242200,E242200,"Cocaine dependence, episodic"
Drug or alcohol misuse,E242300,E242300,Cocaine dependence in remission
Drug or alcohol misuse,E242z00,E242z00,Cocaine drug dependence NOS
Drug or alcohol misuse,E243.00,E243.00,Cannabis type drug dependence
Drug or alcohol misuse,E243.11,E243.11,Hashish dependence
Drug or alcohol misuse,E243.12,E243.12,Hemp dependence
Drug or alcohol misuse,E243.13,E243.13,Marihuana dependence
Drug or alcohol misuse,E243000,E243000,"Cannabis dependence, unspecified"
Drug or alcohol misuse,E243100,E243100,"Cannabis dependence, continuous"
Drug or alcohol misuse,E243200,E243200,"Cannabis dependence, episodic"
Drug or alcohol misuse,E243300,E243300,Cannabis dependence in remission
Drug or alcohol misuse,E243z00,E243z00,Cannabis drug dependence NOS
Drug or alcohol misuse,E244.00,E244.00,Amphetamine or other psychostimulant dependence
Drug or alcohol misuse,E244.11,E244.11,Psychostimulant dependence
Drug or alcohol misuse,E244.12,E244.12,Stimulant dependence
Drug or alcohol misuse,E244000,E244000,"Amphetamine or psychostimulant dependence, unspecified"
Drug or alcohol misuse,E244011,E244011,"Amfetamine or psychostimulant dependence, unspecified"
Drug or alcohol misuse,E244100,E244100,"Amphetamine or psychostimulant dependence, continuous"
Drug or alcohol misuse,E244200,E244200,"Amphetamine or psychostimulant dependence, episodic"
Drug or alcohol misuse,E244300,E244300,Amphetamine or psychostimulant dependence in remission
Drug or alcohol misuse,E244z00,E244z00,Amphetamine or psychostimulant dependence NOS
Drug or alcohol misuse,E244z11,E244z11,Amfetamine or psychostimulant dependence NOS
Drug or alcohol misuse,E245.00,E245.00,Hallucinogen dependence
Drug or alcohol misuse,E245.11,E245.11,LSD dependence
Drug or alcohol misuse,E245.12,E245.12,Lysergic acid diethylamide dependence
Drug or alcohol misuse,E245000,E245000,"Hallucinogen dependence, unspecified"
Drug or alcohol misuse,E245100,E245100,"Hallucinogen dependence, continuous"
Drug or alcohol misuse,E245200,E245200,"Hallucinogen dependence, episodic"
Drug or alcohol misuse,E245300,E245300,Hallucinogen dependence in remission
Drug or alcohol misuse,E245z00,E245z00,Hallucinogen dependence NOS
Drug or alcohol misuse,E246.00,E246.00,Glue sniffing dependence
Drug or alcohol misuse,E246000,E246000,"Glue sniffing dependence, unspecified"
Drug or alcohol misuse,E246100,E246100,"Glue sniffing dependence, continuous"
Drug or alcohol misuse,E246200,E246200,"Glue sniffing dependence, episodic"
Drug or alcohol misuse,E246300,E246300,Glue sniffing dependence in remission
Drug or alcohol misuse,E246z00,E246z00,Glue sniffing dependence NOS
Drug or alcohol misuse,E247.00,E247.00,Other specified drug dependence
Drug or alcohol misuse,E247.11,E247.11,Absinthe addiction
Drug or alcohol misuse,E247000,E247000,"Other specified drug dependence, unspecified"
Drug or alcohol misuse,E247100,E247100,"Other specified drug dependence, continuous"
Drug or alcohol misuse,E247200,E247200,"Other specified drug dependence, episodic"
Drug or alcohol misuse,E247300,E247300,Other specified drug dependence in remission
Drug or alcohol misuse,E247z00,E247z00,Other specified drug dependence NOS
Drug or alcohol misuse,E248.00,E248.00,Combined opioid with other drug dependence
Drug or alcohol misuse,E248000,E248000,"Combined opioid with other drug dependence, unspecified"
Drug or alcohol misuse,E248100,E248100,"Combined opioid with other drug dependence, continuous"
Drug or alcohol misuse,E248200,E248200,"Combined opioid with other drug dependence, episodic"
Drug or alcohol misuse,E248300,E248300,Combined opioid with other drug dependence in remission
Drug or alcohol misuse,E248z00,E248z00,Combined opioid with other drug dependence NOS
Drug or alcohol misuse,E249.00,E249.00,"Combined drug dependence, excluding opioids"
Drug or alcohol misuse,E249000,E249000,"Combined drug dependence, excluding opioid, unspecified"
Drug or alcohol misuse,E249100,E249100,"Combined drug dependence, excluding opioid, continuous"
Drug or alcohol misuse,E249200,E249200,"Combined drug dependence, excluding opioid, episodic"
Drug or alcohol misuse,E249300,E249300,"Combined drug dependence, excluding opioid, in remission"
Drug or alcohol misuse,E249z00,E249z00,"Combined drug dependence, excluding opioid, NOS"
Drug or alcohol misuse,E24A.00,E24A.00,Ecstasy type drug dependence
Drug or alcohol misuse,E24z.00,E24z.00,Drug dependence NOS
Drug or alcohol misuse,E25..00,E25..00,Nondependent abuse of drugs
Drug or alcohol misuse,E252.00,E252.00,Nondependent cannabis abuse
Drug or alcohol misuse,E252000,E252000,"Nondependent cannabis abuse, unspecified"
Drug or alcohol misuse,E252100,E252100,"Nondependent cannabis abuse, continuous"
Drug or alcohol misuse,E252200,E252200,"Nondependent cannabis abuse, episodic"
Drug or alcohol misuse,E252300,E252300,Nondependent cannabis abuse in remission
Drug or alcohol misuse,E252z00,E252z00,Nondependent cannabis abuse NOS
Drug or alcohol misuse,E253.00,E253.00,Nondependent hallucinogen abuse
Drug or alcohol misuse,E253.11,E253.11,'Bad trips'
Drug or alcohol misuse,E253.12,E253.12,LSD reaction
Drug or alcohol misuse,E253000,E253000,"Nondependent hallucinogen abuse, unspecified"
Drug or alcohol misuse,E253100,E253100,"Nondependent hallucinogen abuse, continuous"
Drug or alcohol misuse,E253200,E253200,"Nondependent hallucinogen abuse, episodic"
Drug or alcohol misuse,E253300,E253300,Nondependent hallucinogen abuse in remission
Drug or alcohol misuse,E253z00,E253z00,Nondependent hallucinogen abuse NOS
Drug or alcohol misuse,E254.00,E254.00,Nondependent hypnotic or anxiolytic abuse
Drug or alcohol misuse,E254.11,E254.11,Barbiturate abuse
Drug or alcohol misuse,E254.12,E254.12,Hypnotic or anxiolytic abuse
Drug or alcohol misuse,E254.13,E254.13,Sedative abuse
Drug or alcohol misuse,E254.14,E254.14,Tranquilliser abuse
Drug or alcohol misuse,E254000,E254000,"Nondependent hypnotic or anxiolytic abuse, unspecified"
Drug or alcohol misuse,E254100,E254100,"Nondependent hypnotic or anxiolytic abuse, continuous"
Drug or alcohol misuse,E254200,E254200,"Nondependent hypnotic or anxiolytic abuse, episodic"
Drug or alcohol misuse,E254300,E254300,Nondependent hypnotic or anxiolytic abuse in remission
Drug or alcohol misuse,E254z00,E254z00,Nondependent hypnotic or anxiolytic abuse NOS
Drug or alcohol misuse,E255.00,E255.00,Nondependent opioid abuse
Drug or alcohol misuse,E255000,E255000,"Nondependent opioid abuse, unspecified"
Drug or alcohol misuse,E255100,E255100,"Nondependent opioid abuse, continuous"
Drug or alcohol misuse,E255200,E255200,"Nondependent opioid abuse, episodic"
Drug or alcohol misuse,E255300,E255300,Nondependent opioid abuse in remission
Drug or alcohol misuse,E255z00,E255z00,Nondependent opioid abuse NOS
Drug or alcohol misuse,E256.00,E256.00,Nondependent cocaine abuse
Drug or alcohol misuse,E256000,E256000,"Nondependent cocaine abuse, unspecified"
Drug or alcohol misuse,E256100,E256100,"Nondependent cocaine abuse, continuous"
Drug or alcohol misuse,E256200,E256200,"Nondependent cocaine abuse, episodic"
Drug or alcohol misuse,E256300,E256300,Nondependent cocaine abuse in remission
Drug or alcohol misuse,E256z00,E256z00,Nondependent cocaine abuse NOS
Drug or alcohol misuse,E257.00,E257.00,Nondependent amphetamine or other psychostimulant abuse
Drug or alcohol misuse,E257.11,E257.11,Psychostimulant abuse
Drug or alcohol misuse,E257.12,E257.12,Stimulant abuse
Drug or alcohol misuse,E257000,E257000,"Nondependent amphetamine/psychostimulant abuse, unspecified"
