Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302568014,13200003,22592012,J13y1,J13y100,Unspecified peptic ulcer with haemorrhage
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302571018,13200003,22592012,J13y3,J13y300,Unspecified peptic ulcer with haemorrhage and perforation
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302575010,13200003,22592012,J13yz,J13yz00,Unspecified peptic ulcer NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",396346019,13200003,22592012,J13,J13..00,Peptic ulcer - (PU) site unspecified
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",865161000006118,585591000000109,865161000006118,79144-99,7914499,Heart valvuloplasty
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",3102151000006114,37372002,62345010,^ESCTUP310215,,Upper gastrointestinal hemorrhage
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",81501000006111,13200003,22592012,J13yy,J13yy00,Unspec peptic ulcer; unspec haemorrhage and/or perforation
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",121891000006117,13200003,22592012,J13-1,J13..11,Stress ulcer NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",221161000000111,2901004,1226276012,J681-2,J681.12,Altered blood in stools
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",221171000000116,405729008,2920724011,J681-3,J681.13,Blood in stools altered
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",2709521000006115,13200003,1220929016,^ESCTPU270952,,PUD - Peptic ulcer disease
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",6717711000006111,405729008,2163134019,^ESCTBL671771,,Bloody stool
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",3102191000006115,37372002,486703016,^ESCTUP310219,,Upper GI haemorrhage
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",2709491000006117,13200003,22595014,^ESCTGA270949,,Gastroduodenal ulcer
