Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Iron deficiency with and without anaemia,745851000006117,87522002,507616014,Dyu00,Dyu0000,Iron deficiency anaemia
Iron deficiency with and without anaemia,745851000006117,87522002,507616014,^ESCTID392272,,Iron deficiency anaemia
Iron deficiency with and without anaemia,745851000006117,87522002,507616014,^ESCTSI392273,,Iron deficiency anaemia
Iron deficiency with and without anaemia,745811000006118,413533008,2532901013,D000-2,D000.12,Anaemia due to chronic blood loss
Iron deficiency with and without anaemia,745811000006118,413533008,2532901013,D000,D000.00,Anaemia due to chronic blood loss
Iron deficiency with and without anaemia,745811000006118,413533008,2532901013,^ESCT1192623,,Anaemia due to chronic blood loss
Iron deficiency with and without anaemia,745811000006118,413533008,2532901013,^ESCTAN684279,,Anaemia due to chronic blood loss
Iron deficiency with and without anaemia,745811000006118,413533008,2532901013,^ESCTAN684278,,Anaemia due to chronic blood loss
Iron deficiency with and without anaemia,745811000006118,413533008,2532901013,^ESCTCH684280,,Anaemia due to chronic blood loss
Iron deficiency with and without anaemia,745811000006118,413533008,2532901013,^ESCTCH684281,,Anaemia due to chronic blood loss
Iron deficiency with and without anaemia,745811000006118,413533008,2532901013,^ESCTCH684283,,Anaemia due to chronic blood loss
Iron deficiency with and without anaemia,351092018,234352004,351092018,D000-1,D000.11,Normocytic anaemia due to chronic blood loss
Iron deficiency with and without anaemia,351092018,234352004,351092018,^ESCTNO506343,,Normocytic anaemia due to chronic blood loss
Iron deficiency with and without anaemia,745801000006116,413533008,2532901013,D000-2,D000.12,Iron deficiency anaemia due to blood loss
Iron deficiency with and without anaemia,745801000006116,413533008,2532901013,D000,D000.00,Iron deficiency anaemia due to blood loss
Iron deficiency with and without anaemia,745801000006116,413533008,2532901013,^ESCT1192623,,Iron deficiency anaemia due to blood loss
Iron deficiency with and without anaemia,745801000006116,413533008,2532901013,^ESCTAN684279,,Iron deficiency anaemia due to blood loss
Iron deficiency with and without anaemia,745801000006116,413533008,2532901013,^ESCTAN684278,,Iron deficiency anaemia due to blood loss
Iron deficiency with and without anaemia,745801000006116,413533008,2532901013,^ESCTCH684280,,Iron deficiency anaemia due to blood loss
Iron deficiency with and without anaemia,745801000006116,413533008,2532901013,^ESCTCH684281,,Iron deficiency anaemia due to blood loss
Iron deficiency with and without anaemia,745801000006116,413533008,2532901013,^ESCTCH684283,,Iron deficiency anaemia due to blood loss
Iron deficiency with and without anaemia,293864013,191128004,293864013,^ESCTIR476102,,Iron deficiency anaemia due to dietary causes
