Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826631000006116,188567005,289663010,B6143,B614300,Hodgkin's nodular sclerosis of intra-abdominal lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826661000006113,188568000,289664016,B6144,B614400,Hodgkin's nodular sclerosis of lymph nodes of axilla and arm
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",154811011,93518009,154811011,B6147,B614700,"Hodgkin's disease, nodular sclerosis of spleen"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826671000006118,188572001,289668018,B6148,B614800,Hodgkin's nodular sclerosis of lymph nodes of multiple sites
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289669014,118608000,177027014,B614z,B614z00,"Hodgkin's disease, nodular sclerosis NOS"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2663461018,118609008,2663461018,B615,B615.00,"Hodgkin's disease, mixed cellularity"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289670010,118609008,177028016,B6150,B615000,"Hodgkin's disease, mixed cellularity of unspecified site"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826571000006117,188575004,289671014,B6151,B615100,"Hodgkin's mixed cellularity of lymph nodes head, face, neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826561000006112,188576003,289672019,B6152,B615200,Hodgkin's mixed cellularity of intrathoracic lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826581000006119,188579005,289675017,B6155,B615500,Hodgkin's mixed cellularity of lymph nodes inguinal and leg
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289679011,118609008,177028016,B615z,B615z00,"Hodgkin's disease, mixed cellularity NOS"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2663187010,118610003,2663187010,B616,B616.00,"Hodgkin's disease, lymphocytic depletion"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289680014,118610003,177029012,B6160,B616000,Hodgkin's lymphocytic depletion of unspecified site
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826471000006116,188589009,289696012,B6164,B616400,Hodgkin's lymphocytic depletion lymph nodes axilla and arm
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826481000006118,188590000,289697015,B6165,B616500,Hodgkin's lymphocytic depletion lymph nodes inguinal and leg
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289699017,188592008,289699017,B6167,B616700,"Hodgkin's disease, lymphocytic depletion of spleen"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826491000006115,188593003,289700016,B6168,B616800,Hodgkin's lymphocytic depletion lymph nodes multiple sites
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289701017,118610003,177029012,B616z,B616z00,"Hodgkin's disease, lymphocytic depletion NOS"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2168431000000112,118605002,177024019,B617,B617.00,Nodular lymphocyte predominant Hodgkin lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1815051000006115,118608000,1220414014,B618,B618.00,Nodular sclerosis classical Hodgkin lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1815061000006118,118609008,2663461018,B619,B619.00,Mixed cellularity classical Hodgkin lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2870724014,118607005,2870724014,B61B,B61B.00,Lymphocyte-rich classical Hodgkin lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1815091000006114,118599009,2663473018,B61C,B61C.00,Other classical Hodgkin lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826121000006114,118599009,2663473018,B61z,B61z.00,Hodgkin's disease NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1815101000006115,118599009,177017015,B61z-1,B61z.11,Hodgkin lymphoma NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289703019,118599009,177017015,B61z0,B61z000,"Hodgkin's disease NOS, unspecified site"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289704013,93524003,154823017,B61z1,B61z100,"Hodgkin's disease NOS of lymph nodes of head, face and neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289705014,93522004,154818017,B61z2,B61z200,Hodgkin's disease NOS of intrathoracic lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289706010,93520007,154814015,B61z3,B61z300,Hodgkin's disease NOS of intra-abdominal lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826171000006110,93525002,154826013,B61z5,B61z500,Hodgkin's disease NOS of lymph nodes inguinal region and leg
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289710013,93527005,154831010,B61z7,B61z700,Hodgkin's disease NOS of spleen
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289711012,93526001,154829018,B61z8,B61z800,Hodgkin's disease NOS of lymph nodes of multiple sites
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289702012,118599009,2663473018,B61zz,B61zz00,Hodgkin's disease NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",292169014,118599009,2663473018,ByuD0,ByuD000,[X]Other Hodgkin's disease
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11903701000006110,10639003,18483018,^ESCT1190370,,Solitary myeloma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2669181000006118,10639003,18484012,^ESCTSO266918,,Solitary plasmacytoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",695561000006118,109989006,344820010,B63,B63..00,Multiple myeloma and immunoproliferative neoplasms
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",344820010,109989006,344820010,B630,B630.00,Multiple myeloma
