Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Spinal degenerative disease ,130001000006111,8847002,15601012,N11z.00,N11z.00,Spondylosis NOS
Spinal degenerative disease ,18191000006115,8847002,508047017,N11z.11,N11z.11,Osteoarthritis spine
Spinal degenerative disease ,311118017,68859000,114373013,N11z000,N11z000,"Spondylosis without myelopathy, NOS"
Spinal degenerative disease ,311119013,192907007,297150011,N11z100,N11z100,"Spondylosis with myelopathy, NOS"
Spinal degenerative disease ,400271011,8847002,15601012,N11zz00,N11zz00,Spondylosis NOS
Spinal degenerative disease ,312613012,8847002,15601012,Nyu6300,Nyu6300,[X]Other spondylosis with radiculopathy
Spinal degenerative disease ,312614018,8847002,15601012,Nyu6400,Nyu6400,[X]Other spondylosis
Spinal degenerative disease ,1780401000006116,387731002,1481809019,,,Laminectomy
Spinal degenerative disease ,875071000006117,575091000000108,875071000006117,,7J40599,Laminectomy - unspecified
Spinal degenerative disease ,932311000006110,932311000006106,932311000006110,,,Laminectomy - unspecified
Spinal degenerative disease ,875081000006119,575101000000100,875081000006119,,7J40699,Laminectomy site re-opening
Spinal degenerative disease ,932321000006119,932321000006103,932321000006119,,,Laminectomy site re-opening
Spinal degenerative disease ,4405341000006115,128196005,206420017,,,Lumbar radiculopathy
Spinal degenerative disease ,890921000006116,27151001,890921000006116,,N12A.99,Post laminectomy syndrome
Spinal degenerative disease ,12728091000006112,610481000000107,1350031000000115,,,other and unspecified disc disorders
Spinal degenerative disease ,209131000006117,265709001,394575012,7J20300,7J20300,Primary anterior excis cervical IV disc & interbody fusion
Spinal degenerative disease ,276277012,178526006,276277012,7J20700,7J20700,Primary microdiscectomy of cervical intervertebral disc
Spinal degenerative disease ,276291018,178538002,276291018,7J21700,7J21700,Revisional microdiscectomy of cervical intervertebral disc
Spinal degenerative disease ,276312011,178553005,276312011,7J23200,7J23200,Primary costotransversectomy of thoracic intervertebral disc
Spinal degenerative disease ,276313018,178554004,276313018,7J23300,7J23300,Primary posterior decompression of thoracic disc
Spinal degenerative disease ,1552411000006114,230601000000107,370381000000116,7J24B00,7J24B00,Revision percutan endosc exc thoracic intervertebral disc
Spinal degenerative disease ,276388015,178618008,276388015,7J32.00,7J32.00,Primary lumbar discectomy
Spinal degenerative disease ,276393017,178620006,276393017,7J32111,7J32111,Primary fenestration of lumbar intervertebral disc
Spinal degenerative disease ,276400013,178625001,276400013,7J32600,7J32600,Primary lumbar microdiscectomy
Spinal degenerative disease ,453172019,309702009,453172019,7J32900,7J32900,Primary percutaneous intradiscal lumbar discectomy
Spinal degenerative disease ,276404016,178618008,276388015,7J32y00,7J32y00,Other specified primary lumbar discectomy
