Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Adrenal insufficiency and Addison's disease,398809019,386584007,1480726013,C154z-2,C154z12,Corticoadrenal insufficiency NOS
Adrenal insufficiency and Addison's disease,398809019,386584007,1480726013,^ESCTHY645770,,Corticoadrenal insufficiency NOS
Adrenal insufficiency and Addison's disease,398809019,386584007,1480726013,^ESCTAD645769,,Corticoadrenal insufficiency NOS
Adrenal insufficiency and Addison's disease,398809019,386584007,1480726013,^ESCTAD645768,,Corticoadrenal insufficiency NOS
Adrenal insufficiency and Addison's disease,398809019,386584007,1480726013,C154,C154.00,Corticoadrenal insufficiency NOS
Adrenal insufficiency and Addison's disease,178805019,237785004,3506672018,C154z-1,C154z11,Adrenal hypofunction
Adrenal insufficiency and Addison's disease,178805019,237785004,3506672018,C155,C155.00,Adrenal hypofunction
Adrenal insufficiency and Addison's disease,178805019,237785004,3506672018,C155z,C155z00,Adrenal hypofunction
Adrenal insufficiency and Addison's disease,178805019,237785004,3506672018,^ESCTHY511239,,Adrenal hypofunction
Adrenal insufficiency and Addison's disease,356317017,386584007,1491625012,C154z,C154z00,Adrenal insufficiency
Adrenal insufficiency and Addison's disease,356317017,386584007,1491625012,C154z-2,C154z12,Adrenal insufficiency
Adrenal insufficiency and Addison's disease,356317017,386584007,1491625012,^ESCTHY645770,,Adrenal insufficiency
Adrenal insufficiency and Addison's disease,356317017,386584007,1491625012,^ESCTAD645769,,Adrenal insufficiency
Adrenal insufficiency and Addison's disease,356317017,386584007,1491625012,^ESCTAD645768,,Adrenal insufficiency
Adrenal insufficiency and Addison's disease,356317017,386584007,1491625012,C154,C154.00,Adrenal insufficiency
Adrenal insufficiency and Addison's disease,292837019,237785004,356349017,C154z-1,C154z11,Hypoadrenalism
Adrenal insufficiency and Addison's disease,292837019,237785004,356349017,C155,C155.00,Hypoadrenalism
Adrenal insufficiency and Addison's disease,292837019,237785004,356349017,C155z,C155z00,Hypoadrenalism
Adrenal insufficiency and Addison's disease,292837019,237785004,356349017,^ESCTHY511239,,Hypoadrenalism
Adrenal insufficiency and Addison's disease,292838012,237785004,356349017,C154z-1,C154z11,Other adrenal hypofunction NOS
Adrenal insufficiency and Addison's disease,292838012,237785004,356349017,C155,C155.00,Other adrenal hypofunction NOS
Adrenal insufficiency and Addison's disease,292838012,237785004,356349017,C155z,C155z00,Other adrenal hypofunction NOS
Adrenal insufficiency and Addison's disease,292838012,237785004,356349017,^ESCTHY511239,,Other adrenal hypofunction NOS
Adrenal insufficiency and Addison's disease,682621000006119,34253008,57198011,F3950,F395000,Myopathy due to Addison's disease
Adrenal insufficiency and Addison's disease,682621000006119,34253008,57198011,^ESCTMY305155,,Myopathy due to Addison's disease
Adrenal insufficiency and Addison's disease,682621000006119,34253008,57198011,^ESCTMY305156,,Myopathy due to Addison's disease
