Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
"Disorders of gallbladder, biliary tract and pancreas",886541000006118,266474003,886541000006118,J64-99,J64..99,Calculus of gall bladder
"Disorders of gallbladder, biliary tract and pancreas",886531000006111,266474003,886531000006111,J64-98,J64..98,Calculus of bile duct
"Disorders of gallbladder, biliary tract and pancreas",396399013,266474003,396399013,J64-2,J64..12,Calculus - biliary
"Disorders of gallbladder, biliary tract and pancreas",303587012,197418006,303587012,J6522,J652200,Occlusion of cystic duct
"Disorders of gallbladder, biliary tract and pancreas",303589010,39621005,66445013,J652z,J652z00,Obstruction of gallbladder NOS
"Disorders of gallbladder, biliary tract and pancreas",303601015,39621005,66445013,J65y,J65y.00,Other specified gallbladder disorders
"Disorders of gallbladder, biliary tract and pancreas",798021000006115,235919008,353661012,J642z,J642z00,Gallbladder calculus without cholecystitis and obstruct NOS
"Disorders of gallbladder, biliary tract and pancreas",2914881000006114,25924004,43442010,^ESCTBI291488,,Biliary calculus with cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",5087381000006116,235919008,353660013,^ESCTGS508738,,GS - Gallstone
"Disorders of gallbladder, biliary tract and pancreas",353659015,235919008,353659015,J64-4,J64..14,Gallbladder calculus
"Disorders of gallbladder, biliary tract and pancreas",17750014,10184002,17750014,J6612,J661200,Recurrent cholangitis
"Disorders of gallbladder, biliary tract and pancreas",3643931000006119,70342003,2921014019,^ESCTCH364393,,"Cholelithiasis, non obstructive"
"Disorders of gallbladder, biliary tract and pancreas",2914891000006112,25924004,43443017,^ESCTCH291489,,Cholelithiasis with cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",5493091000006117,266474003,396395019,^ESCTBI549309,,Biliary calculus
"Disorders of gallbladder, biliary tract and pancreas",4610341000006110,168037002,2667986018,^ESCTON461034,,On examination - cholesterol gallstone
"Disorders of gallbladder, biliary tract and pancreas",270801000006117,168037002,261012016,4G21,4G21.00,O/E: cholesterol gall stone
"Disorders of gallbladder, biliary tract and pancreas",271011000006117,168038007,261013014,4G22,4G22.00,O/E: pigment gall stone
"Disorders of gallbladder, biliary tract and pancreas",4610331000006117,168037002,261012016,^ESCTOE461033,,O/E: cholesterol gallstone
"Disorders of gallbladder, biliary tract and pancreas",4610361000006114,168038007,2667987010,^ESCTON461036,,On examination - pigment gallstone
"Disorders of gallbladder, biliary tract and pancreas",4610351000006112,168038007,261013014,^ESCTOE461035,,O/E: pigment gallstone
"Disorders of gallbladder, biliary tract and pancreas",221151000000113,65082000,108158018,J64-3,J64..13,Cystic duct calculus
"Disorders of gallbladder, biliary tract and pancreas",28704010,16957005,28704010,J655,J655.00,Fistula of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",353697015,235951009,353697015,J6711,J671100,Gallstone chronic pancreatitis
"Disorders of gallbladder, biliary tract and pancreas",303600019,16957005,28704010,J655z,J655z00,Fistula of gallbladder NOS
"Disorders of gallbladder, biliary tract and pancreas",303599017,197426003,303599017,J6551,J655100,Cholecystogastric fistula
"Disorders of gallbladder, biliary tract and pancreas",798031000006117,711564007,3079032010,J6421,J642100,Gallbladder calculus without mention cholecystitis + obstruc
"Disorders of gallbladder, biliary tract and pancreas",34148013,20306009,34148013,J6553,J655300,Cholecystoenteric fistula
"Disorders of gallbladder, biliary tract and pancreas",303557018,30093007,50351011,J644,J644.00,Bile duct calculus with other cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",303618016,82403002,136680010,J661y,J661y00,Other cholangitis
"Disorders of gallbladder, biliary tract and pancreas",303619012,82403002,136680010,J661z,J661z00,Cholangitis NOS
"Disorders of gallbladder, biliary tract and pancreas",511661000006111,30093007,50351011,J644z,J644z00,Bile duct calculus + other cholecystitis - obstruction NOS
"Disorders of gallbladder, biliary tract and pancreas",511671000006116,30093007,50351011,J6440,J644000,Bile duct calculus + other cholecystitis and no obstruction
"Disorders of gallbladder, biliary tract and pancreas",511681000006118,30093007,50351011,J6441,J644100,Bile duct calculus + other cholecystitis and obstruction
"Disorders of gallbladder, biliary tract and pancreas",511721000006113,30093007,50351011,J645z,J645z00,Bile duct calculus without cholecystitis NOS
"Disorders of gallbladder, biliary tract and pancreas",511731000006111,4661003,8789018,J6451,J645100,Bile duct calculus without cholecystitis with obstruction
"Disorders of gallbladder, biliary tract and pancreas",396401019,30093007,50351011,J645,J645.00,Bile duct calculus without mention of cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",456802011,30093007,50351011,J6452,J645200,Bile duct calculus NOS
"Disorders of gallbladder, biliary tract and pancreas",136680010,82403002,136680010,J661,J661.00,Cholangitis
"Disorders of gallbladder, biliary tract and pancreas",551551000006117,30093007,50351011,J645-1,J645.11,Choledocholithiasis
"Disorders of gallbladder, biliary tract and pancreas",303568018,197402000,303568018,J646,J646.00,Calculus of bile duct with cholangitis
"Disorders of gallbladder, biliary tract and pancreas",221141000000110,30093007,50351011,J64-1,J64..11,Bile duct calculus
"Disorders of gallbladder, biliary tract and pancreas",511741000006118,30093007,50351011,J6450,J645000,"Bile duct calculus without cholecystitis, no obstruction"
"Disorders of gallbladder, biliary tract and pancreas",511631000006119,197389006,303553019,J643z,J643z00,Bile duct calculus + acute cholecystitis - obstruct NOS
"Disorders of gallbladder, biliary tract and pancreas",511641000006112,197390002,303554013,J6430,J643000,Bile duct calculus + acute cholecystitis and no obstruction
"Disorders of gallbladder, biliary tract and pancreas",511651000006114,197391003,303555014,J6431,J643100,Bile duct calculus + acute cholecystitis and obstruction
"Disorders of gallbladder, biliary tract and pancreas",4787721000006114,197391003,303555014,^ESCTBI478772,,Bile duct calculus with acute cholecystitis and obstruction
"Disorders of gallbladder, biliary tract and pancreas",4787701000006116,197389006,2475612016,^ESCTCA478770,,Calculus of bile duct with acute cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",303553019,197389006,303553019,J643,J643.00,Bile duct calculus with acute cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",303623016,118926004,2469904017,J66y,J66y.00,Other bile duct disorders
"Disorders of gallbladder, biliary tract and pancreas",3102461000006115,37389005,197270013,^ESCTHE310246,,Hepatic colic
