Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Ischaemic heart diseases,7847015,4557003,7847015,G311-1,G311.11,Crescendo angina
Ischaemic heart diseases,7844010,4557003,494262012,G311,G311.00,Preinfarction syndrome
Ischaemic heart diseases,299871010,56265001,93561011,G5,G5...00,Other forms of heart disease
Ischaemic heart diseases,264493019,170594001,264493019,662K0,662K000,Angina control - good
Ischaemic heart diseases,251679016,161504004,251679016,14A5,14A5.00,H/O: angina pectoris
Ischaemic heart diseases,256510015,24607002,41258019,32BZ,32BZ.00,ECG: Q wave NOS
Ischaemic heart diseases,238581000006112,175071008,271151013,79291-1,7929111,Percut translum coronary thrombolytic therapy- streptokinase
Ischaemic heart diseases,72571000006115,4557003,7845011,G311-3,G311.13,Unstable angina
Ischaemic heart diseases,453269016,105501005,169590017,ZV45L,ZV45L00,[V]Status following coronary angioplasty NOS
Ischaemic heart diseases,460686018,399261000,1767181012,ZV457,ZV45700,[V]Presence of aortocoronary bypass graft
Ischaemic heart diseases,451425016,308117007,451425016,8B27,8B27.00,Antianginal therapy
Ischaemic heart diseases,238561000006119,175066001,271142017,79282,7928200,Percut translum balloon angioplasty bypass graft coronary a
Ischaemic heart diseases,230021000006115,399211009,2986492018,G32-2,G32..12,Personal history of myocardial infarction
Ischaemic heart diseases,401516015,268509003,401516015,662-1,662..11,Heart disease monitoring
Ischaemic heart diseases,1548361000006119,415071007,2533528016,7A548,7A54800,Percutaneous transluminal atherectomy
Ischaemic heart diseases,1786197015,398274000,1786197015,G30-2,G30..12,Coronary thrombosis
Ischaemic heart diseases,299710011,233838001,350371016,G304,G304.00,Posterior myocardial infarction NOS
Ischaemic heart diseases,455641000006112,70211005,1233238016,G300,G300.00,Acute anterolateral infarction
Ischaemic heart diseases,1489352010,395697009,1489352010,8F91,8F91.00,Cardiac rehabilitation - phase 2
Ischaemic heart diseases,977771000006119,166711000000108,226781000000114,662k,662k.00,JBS cardiovascular disease risk <10% over next 10 years
Ischaemic heart diseases,264492012,170593007,264492012,662K,662K.00,Angina control
Ischaemic heart diseases,395755010,65340007,108561012,G3411,G341100,Other cardiac wall aneurysm
Ischaemic heart diseases,161491000006110,736966005,3525965016,79203,7920300,Saphenous vein graft replacement of four+ coronary arteries
Ischaemic heart diseases,1786198013,398274000,1786198013,G30-6,G30..16,Thrombosis - coronary
Ischaemic heart diseases,223951000000112,56265001,93561011,G-3,G....13,Heart diseases
Ischaemic heart diseases,2536395017,53741008,2536395017,G340-2,G340.12,Coronary artery disease
Ischaemic heart diseases,271100019,736965009,3525955010,79231,7923100,Prosthetic replacement of two coronary arteries
Ischaemic heart diseases,810821000006112,161503005,251678012,14A4,14A4.00,H/O: myocardial infarct >60
Ischaemic heart diseases,350376014,233843008,350376014,G30-7,G30..17,Silent myocardial infarction
Ischaemic heart diseases,251691013,275544003,411538011,14AA,14AA.00,H/O: heart disease NOS
Ischaemic heart diseases,264505019,268509003,401515016,662Z,662Z.00,Cardiac disease monitoring NOS
Ischaemic heart diseases,271075010,736968006,3525971010,79202,7920200,Saphenous vein graft replacement of three coronary arteries
Ischaemic heart diseases,299707016,54329005,1231324017,G301,G301.00,Other specified anterior myocardial infarction
Ischaemic heart diseases,109915012,66189004,500341014,G310,G310.00,Postmyocardial infarction syndrome
Ischaemic heart diseases,256451015,164861001,1205556017,322Z,322Z.00,ECG: myocardial ischaemia NOS
Ischaemic heart diseases,1234005010,76593002,1234005010,G303,G303.00,Acute inferoposterior infarction
Ischaemic heart diseases,460681000006116,57054005,94884017,G30X,G30X.00,Acute transmural myocardial infarction of unspecif site
Ischaemic heart diseases,67081000006119,233846000,350381017,G362,G362.00,Ventric septal defect/curr comp fol acut myocardal infarctn
Ischaemic heart diseases,504844017,81953000,504844017,182A,182A.00,Chest pain on exertion
Ischaemic heart diseases,2536393012,443502000,2842265012,G3-1,G3...11,Arteriosclerotic heart disease
Ischaemic heart diseases,482811000006113,59021001,498328016,G311-4,G311.14,Angina at rest
Ischaemic heart diseases,299757012,194828000,299757012,G33,G33..00,Angina pectoris
Ischaemic heart diseases,635311000006117,26141007,483123017,32E4,32E4.00,ECG: S-T depression
Ischaemic heart diseases,299783019,194843003,299783019,G3401,G340100,Double coronary vessel disease
Ischaemic heart diseases,1547651000006112,936451000000108,2398371000000113,793G1,793G100,Perc tran ball angio ins 3 or more drug elut stents cor art
Ischaemic heart diseases,271126012,175050003,271126012,79254,7925400,Single implantation of mammary artery into coronary artery
Ischaemic heart diseases,219531000000117,57054005,94884017,G30-5,G30..15,MI - acute myocardial infarction
Ischaemic heart diseases,2534664018,414545008,2534664018,G3,G3...00,Ischaemic heart disease
Ischaemic heart diseases,457531000006110,65547006,1232697013,G302,G302.00,Acute inferolateral infarction
Ischaemic heart diseases,314321000000119,205011000000103,314321000000119,1J61,1J61.00,Suspected ischaemic heart disease
Ischaemic heart diseases,264494013,170595000,264494013,662K1,662K100,Angina control - poor
Ischaemic heart diseases,299712015,194802003,299712015,G306,G306.00,True posterior myocardial infarction
Ischaemic heart diseases,348644016,232717009,348644016,792-1,792..11,Coronary artery bypass graft operations
Ischaemic heart diseases,628021000006118,175047001,271120018,79251,7925100,Double implant of mammary arteries into coronary arteries
Ischaemic heart diseases,2160096015,408546009,2160096015,SP076,SP07600,Coronary artery bypass graft occlusion
Ischaemic heart diseases,109916013,66189004,109916013,G310-1,G310.11,Dressler's syndrome
Ischaemic heart diseases,1235573016,90539001,1235573016,G3410,G341000,Ventricular cardiac aneurysm
Ischaemic heart diseases,451370011,308066006,451370011,14AJ,14AJ.00,H/O: Angina in last year
Ischaemic heart diseases,616081000006113,315287002,459791015,889A,889A.00,Diab mellit insulin-glucose infus acute myocardial infarct
Ischaemic heart diseases,498031000006112,194863005,299818010,G361,G361.00,Atrial septal defect/curr comp folow acut myocardal infarct
Ischaemic heart diseases,1227364015,399261000,2986657017,ZV45K-1,ZV45K11,[V]Presence of coronary artery bypass graft - CABG
Ischaemic heart diseases,271099010,736963002,3525947015,79230,7923000,Prosthetic replacement of one coronary artery
Ischaemic heart diseases,100681000006116,194868001,299824016,G366,G366.00,"Thrombosis atrium,auric append&vent/curr comp foll acute MI"
Ischaemic heart diseases,543291000006110,371068009,1209776017,G36,G36..00,Certain current complication follow acute myocardial infarct
Ischaemic heart diseases,2537480011,414545008,2537480011,G3-3,G3...13,IHD - Ischaemic heart disease
Ischaemic heart diseases,2535824013,165084003,2535824013,32131-1,3213111,Positive exercise ECG test
Ischaemic heart diseases,1780491019,401303003,1780491019,G30X0,G30X000,Acute ST segment elevation myocardial infarction
Ischaemic heart diseases,256508017,164917005,256508017,32B2,32B2.00,ECG: Q wave abnormal
Ischaemic heart diseases,37443015,22298006,37443015,G30-4,G30..14,Heart attack
Ischaemic heart diseases,2210191000000118,853561000000109,2210191000000118,8T04,8T04.00,Referral to Angina Plan self-management programme
Ischaemic heart diseases,682481000006118,194821006,2619484018,G3110,G311000,Myocardial infarction aborted
Ischaemic heart diseases,238571000006114,85053006,506356013,79281,7928100,Percut translum balloon angioplasty mult coronary arteries
Ischaemic heart diseases,158601000006116,194865003,299821012,G363,G363.00,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI
Ischaemic heart diseases,212071000006114,311793000,455419012,G381,G381.00,Postoperative transmural myocardial infarction inferior wall
Ischaemic heart diseases,455651000006114,62695002,104192010,G3011,G301100,Acute anteroseptal infarction
Ischaemic heart diseases,456362017,312610006,456362017,7A6H3,7A6H300,Prosthetic graft patch angioplasty
Ischaemic heart diseases,271073015,736967001,3525967012,79200,7920000,Saphenous vein graft replacement of one coronary artery
Ischaemic heart diseases,264496010,170597008,264496010,662K3,662K300,Angina control - worsening
Ischaemic heart diseases,1547641000006110,936451000000108,2398371000000113,793G0,793G000,Perc translum ball angio insert 1-2 drug elut stents cor art
Ischaemic heart diseases,158611000006118,194866002,299822017,G364,G364.00,Ruptur chordae tendinae/curr comp fol acute myocard infarct
Ischaemic heart diseases,459483011,315021005,459483011,8I37,8I37.00,Coronary heart disease monitoring refused
Ischaemic heart diseases,451369010,308065005,451369010,14AH,14AH.00,H/O: Myocardial infarction in last year
Ischaemic heart diseases,450322013,307140009,450322013,G3070,G307000,Acute non-Q wave infarction
Ischaemic heart diseases,401515016,268509003,401515016,662,662..00,Cardiac disease monitoring
Ischaemic heart diseases,451372015,308068007,451372015,14AL,14AL.00,H/O: Treatment for ischaemic heart disease
Ischaemic heart diseases,2173281000000112,837091000000100,2173281000000112,14AW,14AW.00,H/O acute coronary syndrome
Ischaemic heart diseases,299708014,52035003,3038718019,G3010,G301000,Acute anteroapical infarction
Ischaemic heart diseases,271083016,232721002,348651013,79212,7921200,Autograft replacement of three coronary arteries NEC
Ischaemic heart diseases,1780501013,401314000,1780501013,G3071,G307100,Acute non-ST segment elevation myocardial infarction
Ischaemic heart diseases,299711010,58612006,1231860015,G305,G305.00,Lateral myocardial infarction NOS
Ischaemic heart diseases,1235655012,91335003,1235655012,G30A,G30A.00,Mural thrombosis
Ischaemic heart diseases,271107016,175038009,271107016,79241,7924100,Revision of bypass for two coronary arteries
Ischaemic heart diseases,299714019,73795002,122557015,G308,G308.00,Inferior myocardial infarction NOS
Ischaemic heart diseases,271162013,20738002,34888017,792B0,792B000,Endarterectomy of coronary artery NEC
Ischaemic heart diseases,216351000006118,233885007,350431013,G501,G501.00,Post infarction pericarditis
Ischaemic heart diseases,299796018,194849004,299796018,G343,G343.00,Ischaemic cardiomyopathy
Ischaemic heart diseases,635061000006116,164918000,256509013,32B3,32B3.00,ECG: Q wave pathological
Ischaemic heart diseases,4031011,1755008,4031011,G32,G32..00,Old myocardial infarction
Ischaemic heart diseases,299811016,194857001,299811016,G350,G350.00,Subsequent myocardial infarction of anterior wall
Ischaemic heart diseases,271084010,232722009,348654017,79213,7921300,Autograft replacement of four of more coronary arteries NEC
Ischaemic heart diseases,272107018,276861004,413186016,7A540,7A54000,Percutaneous transluminal angioplasty of artery NEC
Ischaemic heart diseases,4032016,1755008,4032016,G32-1,G32..11,Healed myocardial infarction
Ischaemic heart diseases,324808010,213037002,324808010,SP003,SP00300,Mechanical complication of coronary bypass
