Condition,MedCodeId,Term
"Diseases of oesophagus, stomach and duodenum",3555851000006113.0,Operative procedure on heart
"Diseases of oesophagus, stomach and duodenum",3296621000006114.0,Chronic peptic ulcer with hemorrhage
"Diseases of oesophagus, stomach and duodenum",6717761000006114.0,Feces: blood
"Diseases of oesophagus, stomach and duodenum",3102161000006111.0,Upper gastrointestinal bleeding
"Diseases of oesophagus, stomach and duodenum",271036018.0,Annuloplasty of valve of heart NEC
"Diseases of oesophagus, stomach and duodenum",818851000006118.0,Heart valve or adjacent structures operations OS
"Diseases of oesophagus, stomach and duodenum",495344012.0,Chronic peptic ulcer with haemorrhage
"Diseases of oesophagus, stomach and duodenum",419024010.0,Blood in vomit - symptom
"Diseases of oesophagus, stomach and duodenum",411734011.0,Melaena - O/E of faeces
"Diseases of oesophagus, stomach and duodenum",271312012.0,Heart operations NOS
"Diseases of oesophagus, stomach and duodenum",372431015.0,Blood in faeces symptom
"Diseases of oesophagus, stomach and duodenum",486704010.0,Upper gastrointestinal haemorrhage
"Diseases of oesophagus, stomach and duodenum",2647548014.0,Blood in faeces
"Diseases of oesophagus, stomach and duodenum",885981000006112.0,PU - chronic + haemorrhage
"Diseases of oesophagus, stomach and duodenum",15459010.0,Vomiting of blood
"Diseases of oesophagus, stomach and duodenum",2709531000006117.0,PU - Peptic ulcer
"Diseases of oesophagus, stomach and duodenum",6717741000006110.0,Passage of bloody stools
"Diseases of oesophagus, stomach and duodenum",6717721000006115.0,Bright red blood in stool
"Diseases of oesophagus, stomach and duodenum",3102211000006119.0,Upper GI - gastrointestinal hemorrhage
"Diseases of oesophagus, stomach and duodenum",302576011.0,Peptic ulcer NOS
"Diseases of oesophagus, stomach and duodenum",2153991014.0,Haematochezia
"Diseases of oesophagus, stomach and duodenum",271066013.0,Heart valve and adjacent structures operations NOS
"Diseases of oesophagus, stomach and duodenum",517931000006117.0,Blood in faeces
"Diseases of oesophagus, stomach and duodenum",3102171000006116.0,Upper GI hemorrhage
"Diseases of oesophagus, stomach and duodenum",5576661000006114.0,Melaena on examination of faeces
"Diseases of oesophagus, stomach and duodenum",271174012.0,Other parts of heart and pericardium operations
"Diseases of oesophagus, stomach and duodenum",271309014.0,Other parts of heart and pericardium operations NOS
"Diseases of oesophagus, stomach and duodenum",302565012.0,Unspecified peptic ulcer
"Diseases of oesophagus, stomach and duodenum",2545151000006112.0,Melena
"Diseases of oesophagus, stomach and duodenum",5576641000006110.0,Melena - O/E of feces
"Diseases of oesophagus, stomach and duodenum",885931000006111.0,Peptic ulcer NOS = PU
"Diseases of oesophagus, stomach and duodenum",2709501000006113.0,Peptic ulcer disease
"Diseases of oesophagus, stomach and duodenum",5576651000006112.0,Melena on examination of feces
"Diseases of oesophagus, stomach and duodenum",3555861000006110.0,Cardiac surgery procedure
"Diseases of oesophagus, stomach and duodenum",2639831000006117.0,Vomiting of blood
"Diseases of oesophagus, stomach and duodenum",2545191000006118.0,"Black, tarry stool"
"Diseases of oesophagus, stomach and duodenum",885991000006110.0,PU - chronic + perforation
"Diseases of oesophagus, stomach and duodenum",3619881000006119.0,Percutaneous valvuloplasty
"Diseases of oesophagus, stomach and duodenum",3619911000006119.0,Percutaneous cardiac valvuloplasty
"Diseases of oesophagus, stomach and duodenum",270965018.0,Repositioning of tricuspid valve
"Diseases of oesophagus, stomach and duodenum",498977018.0,Chronic peptic ulcer with haemorrhage AND perforation
"Diseases of oesophagus, stomach and duodenum",886001000006111.0,PU - chronic + h'ge + perf.
"Diseases of oesophagus, stomach and duodenum",3496021000006116.0,Chronic peptic ulcer with hemorrhage AND perforation
"Diseases of oesophagus, stomach and duodenum",2478805011.0,Percutaneous transluminal valvuloplasty
"Diseases of oesophagus, stomach and duodenum",302556017.0,Chronic peptic ulcer without mention of complication
"Diseases of oesophagus, stomach and duodenum",302563017.0,Chronic peptic ulcer unspecified
"Diseases of oesophagus, stomach and duodenum",302564011.0,Chronic peptic ulcer NOS
"Diseases of oesophagus, stomach and duodenum",302562010.0,Chronic peptic ulcer with obstruction
"Diseases of oesophagus, stomach and duodenum",206557013.0,Chronic peptic ulcer
