Condition,MedCodeId,Term
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",25371000006119.0,Other noninfective lymphatic disorder
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",557161000006118.0,Chylocele - nonfilarial
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",88149012.0,Chylous ascites
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300826013.0,Chylous cyst
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300827016.0,Lymph node fistula
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300828014.0,Lymph vessel fistula
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300829018.0,Lymph node infarction
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300830011.0,Lymph vessel infarction
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300832015.0,Lymph vessel rupture
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",350757010.0,Lymphocele
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",1174271000000111.0,Infected lymphocele
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",25381000006116.0,Other noninfective lymphatic disorders NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",585601000006114.0,Noninfective lymphatic disorder NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",624241000006112.0,"Disorder of vein, unspecified"
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",34363019.0,Postphlebitic syndrome
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",136990016.0,Stricture of vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300846015.0,Compression of vein NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",2645973019.0,Chronic peripheral venous hypertension
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",2168741000000112.8,Postthrombotic syndrome
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300848019.0,Chronic venous insufficiency NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300849010.0,Venous collateral circulation NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300850010.0,Phlebosclerosis
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",2619508015.0,Venofibrosis
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",377441000006114.0,"[X]Diseases of veins, lymphatic vessels & lymph nodes, NEC"
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300982014.0,[X]Varicose veins of other specified sites
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300983016.0,[X]Other specified disorders of veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",405111000006112.0,[X]Oth spcfd noninfectv disordrs/lymphatc vessls+lymph nodes
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300986012.0,"[X]Disorder of vein, unspecified"
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",303366015.0,Intestinal lymphangiectasis
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",355723016.0,Varicose veins - obstetric
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",451448014.0,Varicose veins of legs in the puerperium
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",355726012.0,Perineal obstetric varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",355724010.0,Vulval obstetric varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",486191017.0,Gravitational eczema
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",308882012.0,Lymphoedematous keratoderma
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",590281000006112.0,Constriction ring with lymphoedema
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",314929018.0,Constriction ring of lower limb with lymphoedema
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",222081000000110.0,Milroy's disease
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",222091000000112.0,Meige's disease
