,Condition,MedCodeId,SnomedCTConceptId,SnomedCTDescriptionId,OriginalReadCode,Term,CleansedReadCode
914,Other forms of heart disease,1478969019.0,384642005.0,1478969019.0,^ESCTMI642633,Mitral valvuloplasty,7910.11
915,Other forms of heart disease,1478969019.0,384642005.0,1478969019.0,7910-1,Mitral valvuloplasty,7910.11
916,Other forms of heart disease,1478969019.0,384642005.0,1478969019.0,79104,Mitral valvuloplasty,7910.11
917,Other forms of heart disease,1478969019.0,384642005.0,1478969019.0,^ESCTMV642634,Mitral valvuloplasty,7910.11
918,Other forms of heart disease,270933016.0,384642005.0,1478969019.0,^ESCTVA642635,Mitral valvuloplasty NEC,7910400
919,Other forms of heart disease,270933016.0,384642005.0,1478969019.0,^ESCTMI642633,Mitral valvuloplasty NEC,7910400
920,Other forms of heart disease,270933016.0,384642005.0,1478969019.0,7910-1,Mitral valvuloplasty NEC,7910400
921,Other forms of heart disease,270933016.0,384642005.0,1478969019.0,79104,Mitral valvuloplasty NEC,7910400
922,Other forms of heart disease,270933016.0,384642005.0,1478969019.0,^ESCTMV642634,Mitral valvuloplasty NEC,7910400
923,Other forms of heart disease,270950019.0,112816004.0,188662011.0,79114,Aortic valvuloplasty NEC,7911400
924,Other forms of heart disease,270950019.0,112816004.0,188662011.0,^ESCTAO421463,Aortic valvuloplasty NEC,7911400
925,Other forms of heart disease,270950019.0,112816004.0,188662011.0,^ESCTVA421460,Aortic valvuloplasty NEC,7911400
926,Other forms of heart disease,270950019.0,112816004.0,188662011.0,^ESCTRE421462,Aortic valvuloplasty NEC,7911400
927,Other forms of heart disease,270950019.0,112816004.0,188662011.0,^ESCTAV421464,Aortic valvuloplasty NEC,7911400
928,Other forms of heart disease,270950019.0,112816004.0,188662011.0,7911-1,Aortic valvuloplasty NEC,7911400
929,Other forms of heart disease,270950019.0,112816004.0,188662011.0,79114-1,Aortic valvuloplasty NEC,7911400
930,Other forms of heart disease,2536641017.0,384643000.0,2536641017.0,^ESCTRE642636,Tricuspid valvuloplasty,7912.12
931,Other forms of heart disease,2536641017.0,384643000.0,2536641017.0,^ESCTTR642639,Tricuspid valvuloplasty,7912.12
932,Other forms of heart disease,2536641017.0,384643000.0,2536641017.0,79125,Tricuspid valvuloplasty,7912.12
933,Other forms of heart disease,2536641017.0,384643000.0,2536641017.0,^ESCTTV642638,Tricuspid valvuloplasty,7912.12
934,Other forms of heart disease,2536641017.0,384643000.0,2536641017.0,^ESCTTV642637,Tricuspid valvuloplasty,7912.12
935,Other forms of heart disease,2536641017.0,384643000.0,2536641017.0,7912-2,Tricuspid valvuloplasty,7912.12
936,Other forms of heart disease,2536641017.0,384643000.0,2536641017.0,79125-1,Tricuspid valvuloplasty,7912.12
937,Other forms of heart disease,270966017.0,384643000.0,1478970018.0,^ESCTRE642636,Tricuspid valvuloplasty NEC,7912500
938,Other forms of heart disease,270966017.0,384643000.0,1478970018.0,^ESCTTR642639,Tricuspid valvuloplasty NEC,7912500
939,Other forms of heart disease,270966017.0,384643000.0,1478970018.0,79125,Tricuspid valvuloplasty NEC,7912500
940,Other forms of heart disease,270966017.0,384643000.0,1478970018.0,^ESCTTV642638,Tricuspid valvuloplasty NEC,7912500
941,Other forms of heart disease,270966017.0,384643000.0,1478970018.0,^ESCTTV642637,Tricuspid valvuloplasty NEC,7912500
942,Other forms of heart disease,270966017.0,384643000.0,1478970018.0,7912-2,Tricuspid valvuloplasty NEC,7912500
943,Other forms of heart disease,270966017.0,384643000.0,1478970018.0,79125-1,Tricuspid valvuloplasty NEC,7912500
944,Other forms of heart disease,271010013.0,174967004.0,271010013.0,^ESCTOM466490,Open mitral valvotomy,7916000
945,Other forms of heart disease,271010013.0,174967004.0,271010013.0,^ESCTOM466491,Open mitral valvotomy,7916000
946,Other forms of heart disease,271010013.0,174967004.0,271010013.0,79160,Open mitral valvotomy,7916000
947,Other forms of heart disease,271011012.0,174968009.0,271011012.0,79161,Open aortic valvotomy,7916100
948,Other forms of heart disease,271012017.0,174969001.0,271012017.0,79162,Open tricuspid valvotomy,7916200
949,Other forms of heart disease,499818013.0,6433003.0,499818013.0,^ESCTCL260251,Closed mitral valvotomy,7917000
950,Other forms of heart disease,499818013.0,6433003.0,499818013.0,^ESCTCL260252,Closed mitral valvotomy,7917000
951,Other forms of heart disease,499818013.0,6433003.0,499818013.0,^ESCTCM260254,Closed mitral valvotomy,7917000
952,Other forms of heart disease,499818013.0,6433003.0,499818013.0,79170,Closed mitral valvotomy,7917000
953,Other forms of heart disease,499818013.0,6433003.0,499818013.0,^ESCTCM260255,Closed mitral valvotomy,7917000
954,Other forms of heart disease,1219795015.0,112814001.0,1219795015.0,^ESCTCL421457,Closed aortic valvotomy,7917100
955,Other forms of heart disease,1219795015.0,112814001.0,1219795015.0,79171,Closed aortic valvotomy,7917100
956,Other forms of heart disease,474766017.0,129243001.0,474766017.0,^ESCTCL442422,Closed tricuspid valvotomy,7917200
957,Other forms of heart disease,474766017.0,129243001.0,474766017.0,79172,Closed tricuspid valvotomy,7917200
958,Other forms of heart disease,271030012.0,174980001.0,271030012.0,^ESCTMI466502,Annuloplasty of mitral valve,7918000
959,Other forms of heart disease,271030012.0,174980001.0,271030012.0,^ESCTMV466501,Annuloplasty of mitral valve,7918000
960,Other forms of heart disease,271030012.0,174980001.0,271030012.0,79180,Annuloplasty of mitral valve,7918000
961,Other forms of heart disease,394285014.0,265480000.0,394285014.0,79181,Annuloplasty of tricuspid valve,7918100
962,Other forms of heart disease,348762015.0,232783002.0,348762015.0,^ESCTPL504110,De Vega tricuspid annuloplasty,7918111
963,Other forms of heart disease,348762015.0,232783002.0,348762015.0,79181-1,De Vega tricuspid annuloplasty,7918111
964,Other forms of heart disease,348762015.0,232783002.0,348762015.0,^ESCTDE504112,De Vega tricuspid annuloplasty,7918111
965,Other forms of heart disease,348798011.0,232808000.0,348798011.0,79184,Closure of tricuspid valve,7918400
966,Other forms of heart disease,271043012.0,174987003.0,271043012.0,79190,Percutaneous transluminal mitral valvotomy,7919000
967,Other forms of heart disease,271044018.0,174988008.0,271044018.0,79191,Percutaneous transluminal aortic valvotomy,7919100
968,Other forms of heart disease,271045017.0,174989000.0,271045017.0,79192,Percutaneous transluminal tricuspid valvotomy,7919200
969,Other forms of heart disease,348801017.0,232811004.0,348801017.0,^ESCTRE504150,Tricuspid valvectomy,791D000
970,Other forms of heart disease,348801017.0,232811004.0,348801017.0,^ESCTEX504151,Tricuspid valvectomy,791D000
971,Other forms of heart disease,348801017.0,232811004.0,348801017.0,791D0,Tricuspid valvectomy,791D000
972,Other forms of heart disease,219511000000113.0,11851006.0,444757013.0,G11z,Mitral valve disease,G11..00
973,Other forms of heart disease,219511000000113.0,11851006.0,444757013.0,Gyu55,Mitral valve disease,G11..00
974,Other forms of heart disease,219511000000113.0,11851006.0,444757013.0,^ESCTMV268873,Mitral valve disease,G11..00
975,Other forms of heart disease,219511000000113.0,11851006.0,444757013.0,G540z,Mitral valve disease,G11..00
976,Other forms of heart disease,219511000000113.0,11851006.0,444757013.0,Gyu10,Mitral valve disease,G11..00
977,Other forms of heart disease,219511000000113.0,11851006.0,444757013.0,G11-99,Mitral valve disease,G11..00
978,Other forms of heart disease,219511000000113.0,11851006.0,444757013.0,Gyu59,Mitral valve disease,G11..00
979,Other forms of heart disease,219511000000113.0,11851006.0,444757013.0,G11,Mitral valve disease,G11..00
980,Other forms of heart disease,1234383014.0,79619009.0,1234383014.0,^ESCTMS379489,Mitral stenosis,G110.00
981,Other forms of heart disease,1234383014.0,79619009.0,1234383014.0,^ESCTMI379488,Mitral stenosis,G110.00
982,Other forms of heart disease,1234383014.0,79619009.0,1234383014.0,G110,Mitral stenosis,G110.00
983,Other forms of heart disease,299593012.0,194726006.0,299593012.0,G112-99,Mitral stenosis with incompetence,G112.12
984,Other forms of heart disease,299593012.0,194726006.0,299593012.0,G112,Mitral stenosis with incompetence,G112.12
985,Other forms of heart disease,299593012.0,194726006.0,299593012.0,G112-3,Mitral stenosis with incompetence,G112.12
986,Other forms of heart disease,299593012.0,194726006.0,299593012.0,G112-2,Mitral stenosis with incompetence,G112.12
987,Other forms of heart disease,299592019.0,194726006.0,299592019.0,G112-99,Mitral stenosis with regurgitation,G112.13
988,Other forms of heart disease,299592019.0,194726006.0,299592019.0,G112,Mitral stenosis with regurgitation,G112.13
989,Other forms of heart disease,299592019.0,194726006.0,299592019.0,G112-3,Mitral stenosis with regurgitation,G112.13
990,Other forms of heart disease,299592019.0,194726006.0,299592019.0,G112-2,Mitral stenosis with regurgitation,G112.13
991,Other forms of heart disease,159271000006119.0,251003004.0,374137013.0,^ESCTRU529429,Ruptured mitral valve cusp,G114.00
992,Other forms of heart disease,159271000006119.0,251003004.0,374137013.0,^ESCTTO529428,Ruptured mitral valve cusp,G114.00
993,Other forms of heart disease,159271000006119.0,251003004.0,374137013.0,G114,Ruptured mitral valve cusp,G114.00
994,Other forms of heart disease,299596016.0,11851006.0,444757013.0,G11z,Mitral valve disease NOS,G11z.00
995,Other forms of heart disease,299596016.0,11851006.0,444757013.0,Gyu55,Mitral valve disease NOS,G11z.00
996,Other forms of heart disease,299596016.0,11851006.0,444757013.0,^ESCTMV268873,Mitral valve disease NOS,G11z.00
997,Other forms of heart disease,299596016.0,11851006.0,444757013.0,G540z,Mitral valve disease NOS,G11z.00
998,Other forms of heart disease,299596016.0,11851006.0,444757013.0,Gyu10,Mitral valve disease NOS,G11z.00
999,Other forms of heart disease,299596016.0,11851006.0,444757013.0,G11-99,Mitral valve disease NOS,G11z.00
1000,Other forms of heart disease,299596016.0,11851006.0,444757013.0,Gyu59,Mitral valve disease NOS,G11z.00
1001,Other forms of heart disease,299596016.0,11851006.0,444757013.0,G11,Mitral valve disease NOS,G11z.00
1002,Other forms of heart disease,299602018.0,194732001.0,299602018.0,G13,Diseases of mitral and aortic valves,G13..00
1003,Other forms of heart disease,299602018.0,194732001.0,299602018.0,G13-99,Diseases of mitral and aortic valves,G13..00
1004,Other forms of heart disease,299602018.0,194732001.0,299602018.0,G13z,Diseases of mitral and aortic valves,G13..00
1005,Other forms of heart disease,299602018.0,194732001.0,299602018.0,G13y,Diseases of mitral and aortic valves,G13..00
1006,Other forms of heart disease,299603011.0,194733006.0,299603011.0,G130,Mitral and aortic stenosis,G130.00
1007,Other forms of heart disease,299604017.0,194734000.0,299604017.0,G131,Mitral stenosis and aortic insufficiency,G131.00
1008,Other forms of heart disease,299604017.0,194734000.0,299604017.0,G131-4,Mitral stenosis and aortic insufficiency,G131.00
1009,Other forms of heart disease,299604017.0,194734000.0,299604017.0,G131-3,Mitral stenosis and aortic insufficiency,G131.00
1010,Other forms of heart disease,299606015.0,194734000.0,299606015.0,G131,Mitral stenosis and aortic incompetence,G131.13
1011,Other forms of heart disease,299606015.0,194734000.0,299606015.0,G131-4,Mitral stenosis and aortic incompetence,G131.13
1012,Other forms of heart disease,299606015.0,194734000.0,299606015.0,G131-3,Mitral stenosis and aortic incompetence,G131.13
1013,Other forms of heart disease,299605016.0,194734000.0,299605016.0,G131,Mitral stenosis and aortic regurgitation,G131.14
1014,Other forms of heart disease,299605016.0,194734000.0,299605016.0,G131-4,Mitral stenosis and aortic regurgitation,G131.14
1015,Other forms of heart disease,299605016.0,194734000.0,299605016.0,G131-3,Mitral stenosis and aortic regurgitation,G131.14
1016,Other forms of heart disease,299609010.0,194735004.0,299609010.0,G132-2,Mitral insufficiency and aortic stenosis,G132.00
1017,Other forms of heart disease,299609010.0,194735004.0,299609010.0,G132,Mitral insufficiency and aortic stenosis,G132.00
1018,Other forms of heart disease,299609010.0,194735004.0,299609010.0,G132-3,Mitral insufficiency and aortic stenosis,G132.00
1019,Other forms of heart disease,299607012.0,194735004.0,299607012.0,G132-2,Mitral incompetence and aortic stenosis,G132.12
1020,Other forms of heart disease,299607012.0,194735004.0,299607012.0,G132,Mitral incompetence and aortic stenosis,G132.12
1021,Other forms of heart disease,299607012.0,194735004.0,299607012.0,G132-3,Mitral incompetence and aortic stenosis,G132.12
1022,Other forms of heart disease,299608019.0,194735004.0,299608019.0,G132-2,Mitral regurgitation and aortic stenosis,G132.13
1023,Other forms of heart disease,299608019.0,194735004.0,299608019.0,G132,Mitral regurgitation and aortic stenosis,G132.13
1024,Other forms of heart disease,299608019.0,194735004.0,299608019.0,G132-3,Mitral regurgitation and aortic stenosis,G132.13
1025,Other forms of heart disease,299610017.0,194736003.0,299610017.0,G133,Mitral and aortic incompetence,G133.00
1026,Other forms of heart disease,299610017.0,194736003.0,299610017.0,G133-1,Mitral and aortic incompetence,G133.00
1027,Other forms of heart disease,299610017.0,194736003.0,299610017.0,G133-2,Mitral and aortic incompetence,G133.00
1028,Other forms of heart disease,299611018.0,194736003.0,299611018.0,G133,Mitral and aortic insufficiency,G133.11
1029,Other forms of heart disease,299611018.0,194736003.0,299611018.0,G133-1,Mitral and aortic insufficiency,G133.11
1030,Other forms of heart disease,299611018.0,194736003.0,299611018.0,G133-2,Mitral and aortic insufficiency,G133.11
1031,Other forms of heart disease,299612013.0,194736003.0,299612013.0,G133,Mitral and aortic regurgitation,G133.12
1032,Other forms of heart disease,299612013.0,194736003.0,299612013.0,G133-1,Mitral and aortic regurgitation,G133.12
1033,Other forms of heart disease,299612013.0,194736003.0,299612013.0,G133-2,Mitral and aortic regurgitation,G133.12
1034,Other forms of heart disease,299613015.0,194732001.0,299602018.0,G13,Multiple mitral and aortic valve involvement,G13y.00
1035,Other forms of heart disease,299613015.0,194732001.0,299602018.0,G13-99,Multiple mitral and aortic valve involvement,G13y.00
1036,Other forms of heart disease,299613015.0,194732001.0,299602018.0,G13z,Multiple mitral and aortic valve involvement,G13y.00
1037,Other forms of heart disease,299613015.0,194732001.0,299602018.0,G13y,Multiple mitral and aortic valve involvement,G13y.00
1038,Other forms of heart disease,299614014.0,194732001.0,299602018.0,G13,Mitral and aortic valve disease NOS,G13z.00
1039,Other forms of heart disease,299614014.0,194732001.0,299602018.0,G13-99,Mitral and aortic valve disease NOS,G13z.00
1040,Other forms of heart disease,299614014.0,194732001.0,299602018.0,G13z,Mitral and aortic valve disease NOS,G13z.00
1041,Other forms of heart disease,299614014.0,194732001.0,299602018.0,G13y,Mitral and aortic valve disease NOS,G13z.00
1042,Other forms of heart disease,299616011.0,20721001.0,1222524014.0,G542z,Tricuspid valve disease,G140.00
1043,Other forms of heart disease,299616011.0,20721001.0,1222524014.0,G140,Tricuspid valve disease,G140.00
1044,Other forms of heart disease,299616011.0,20721001.0,1222524014.0,Gyu12,Tricuspid valve disease,G140.00
1045,Other forms of heart disease,299616011.0,20721001.0,1222524014.0,Gyu5B,Tricuspid valve disease,G140.00
1046,Other forms of heart disease,87501000006118.0,67696008.0,1232959011.0,G1401-1,Rheumatic tricuspid regurgitation,G140111
1047,Other forms of heart disease,87501000006118.0,67696008.0,1232959011.0,^ESCTRH360087,Rheumatic tricuspid regurgitation,G140111
1048,Other forms of heart disease,87501000006118.0,67696008.0,1232959011.0,^ESCTRH360088,Rheumatic tricuspid regurgitation,G140111
1049,Other forms of heart disease,87501000006118.0,67696008.0,1232959011.0,G1401-2,Rheumatic tricuspid regurgitation,G140111
1050,Other forms of heart disease,87501000006118.0,67696008.0,1232959011.0,G1401,Rheumatic tricuspid regurgitation,G140111
1051,Other forms of heart disease,87501000006118.0,67696008.0,1232959011.0,^ESCTRH360089,Rheumatic tricuspid regurgitation,G140111
1052,Other forms of heart disease,1232958015.0,67696008.0,1232958015.0,G1401-1,Tricuspid incompetence - rheumatic,G140112
1053,Other forms of heart disease,1232958015.0,67696008.0,1232958015.0,^ESCTRH360087,Tricuspid incompetence - rheumatic,G140112
1054,Other forms of heart disease,1232958015.0,67696008.0,1232958015.0,^ESCTRH360088,Tricuspid incompetence - rheumatic,G140112
1055,Other forms of heart disease,1232958015.0,67696008.0,1232958015.0,G1401-2,Tricuspid incompetence - rheumatic,G140112
1056,Other forms of heart disease,1232958015.0,67696008.0,1232958015.0,G1401,Tricuspid incompetence - rheumatic,G140112
1057,Other forms of heart disease,1232958015.0,67696008.0,1232958015.0,^ESCTRH360089,Tricuspid incompetence - rheumatic,G140112
1058,Other forms of heart disease,299620010.0,194741006.0,299620010.0,G1402,Rheumatic tricuspid stenosis and insufficiency,G140200
1059,Other forms of heart disease,299620010.0,194741006.0,299620010.0,G1402-Y,Rheumatic tricuspid stenosis and insufficiency,G140200
1060,Other forms of heart disease,299620010.0,194741006.0,299620010.0,^ESCTRH477571,Rheumatic tricuspid stenosis and insufficiency,G140200
1061,Other forms of heart disease,299620010.0,194741006.0,299620010.0,G1402-X,Rheumatic tricuspid stenosis and insufficiency,G140200
1062,Other forms of heart disease,299621014.0,49915006.0,83138015.0,G1405-1,"Tricuspid stenosis, cause unspecified",G140300
1063,Other forms of heart disease,299621014.0,49915006.0,83138015.0,^ESCTTS330814,"Tricuspid stenosis, cause unspecified",G140300
1064,Other forms of heart disease,299621014.0,49915006.0,83138015.0,^ESCTTR330812,"Tricuspid stenosis, cause unspecified",G140300
1065,Other forms of heart disease,299621014.0,49915006.0,83138015.0,^ESCTTR330813,"Tricuspid stenosis, cause unspecified",G140300
1066,Other forms of heart disease,299621014.0,49915006.0,83138015.0,G1403,"Tricuspid stenosis, cause unspecified",G140300
1067,Other forms of heart disease,299621014.0,49915006.0,83138015.0,G1405,"Tricuspid stenosis, cause unspecified",G140300
1068,Other forms of heart disease,299621014.0,49915006.0,83138015.0,G1405-4,"Tricuspid stenosis, cause unspecified",G140300
1069,Other forms of heart disease,299622019.0,111287006.0,178507019.0,G1404-3,Tricuspid valve regurgitation,G140400
1070,Other forms of heart disease,299622019.0,111287006.0,178507019.0,^ESCTTR419346,Tricuspid valve regurgitation,G140400
1071,Other forms of heart disease,299622019.0,111287006.0,178507019.0,^ESCTTI419345,Tricuspid valve regurgitation,G140400
1072,Other forms of heart disease,299622019.0,111287006.0,178507019.0,^ESCTTR419342,Tricuspid valve regurgitation,G140400
1073,Other forms of heart disease,299622019.0,111287006.0,178507019.0,^ESCTTR419347,Tricuspid valve regurgitation,G140400
1074,Other forms of heart disease,299622019.0,111287006.0,178507019.0,^ESCTTR419343,Tricuspid valve regurgitation,G140400
1075,Other forms of heart disease,299622019.0,111287006.0,178507019.0,G1404,Tricuspid valve regurgitation,G140400
1076,Other forms of heart disease,299622019.0,111287006.0,178507019.0,^ESCTTR419344,Tricuspid valve regurgitation,G140400
1077,Other forms of heart disease,299622019.0,111287006.0,178507019.0,G1404-2,Tricuspid valve regurgitation,G140400
1078,Other forms of heart disease,1222306011.0,111287006.0,178507019.0,G1404-3,"Tricuspid incompetence, cause unspecified",G140412
1079,Other forms of heart disease,1222306011.0,111287006.0,178507019.0,^ESCTTR419346,"Tricuspid incompetence, cause unspecified",G140412
1080,Other forms of heart disease,1222306011.0,111287006.0,178507019.0,^ESCTTI419345,"Tricuspid incompetence, cause unspecified",G140412
1081,Other forms of heart disease,1222306011.0,111287006.0,178507019.0,^ESCTTR419342,"Tricuspid incompetence, cause unspecified",G140412
1082,Other forms of heart disease,1222306011.0,111287006.0,178507019.0,^ESCTTR419347,"Tricuspid incompetence, cause unspecified",G140412
1083,Other forms of heart disease,1222306011.0,111287006.0,178507019.0,^ESCTTR419343,"Tricuspid incompetence, cause unspecified",G140412
1084,Other forms of heart disease,1222306011.0,111287006.0,178507019.0,G1404,"Tricuspid incompetence, cause unspecified",G140412
1085,Other forms of heart disease,1222306011.0,111287006.0,178507019.0,^ESCTTR419344,"Tricuspid incompetence, cause unspecified",G140412
1086,Other forms of heart disease,1222306011.0,111287006.0,178507019.0,G1404-2,"Tricuspid incompetence, cause unspecified",G140412
1087,Other forms of heart disease,1222307019.0,111287006.0,178507019.0,G1404-3,"Tricuspid regurgitation, cause unspecified",G140413
1088,Other forms of heart disease,1222307019.0,111287006.0,178507019.0,^ESCTTR419346,"Tricuspid regurgitation, cause unspecified",G140413
1089,Other forms of heart disease,1222307019.0,111287006.0,178507019.0,^ESCTTI419345,"Tricuspid regurgitation, cause unspecified",G140413
1090,Other forms of heart disease,1222307019.0,111287006.0,178507019.0,^ESCTTR419342,"Tricuspid regurgitation, cause unspecified",G140413
1091,Other forms of heart disease,1222307019.0,111287006.0,178507019.0,^ESCTTR419347,"Tricuspid regurgitation, cause unspecified",G140413
1092,Other forms of heart disease,1222307019.0,111287006.0,178507019.0,^ESCTTR419343,"Tricuspid regurgitation, cause unspecified",G140413
1093,Other forms of heart disease,1222307019.0,111287006.0,178507019.0,G1404,"Tricuspid regurgitation, cause unspecified",G140413
1094,Other forms of heart disease,1222307019.0,111287006.0,178507019.0,^ESCTTR419344,"Tricuspid regurgitation, cause unspecified",G140413
1095,Other forms of heart disease,1222307019.0,111287006.0,178507019.0,G1404-2,"Tricuspid regurgitation, cause unspecified",G140413
1096,Other forms of heart disease,299623012.0,49915006.0,83138015.0,G1405-1,"Tricuspid stenosis and insufficiency, cause unspecified",G140500
1097,Other forms of heart disease,299623012.0,49915006.0,83138015.0,^ESCTTS330814,"Tricuspid stenosis and insufficiency, cause unspecified",G140500
1098,Other forms of heart disease,299623012.0,49915006.0,83138015.0,^ESCTTR330812,"Tricuspid stenosis and insufficiency, cause unspecified",G140500
1099,Other forms of heart disease,299623012.0,49915006.0,83138015.0,^ESCTTR330813,"Tricuspid stenosis and insufficiency, cause unspecified",G140500
1100,Other forms of heart disease,299623012.0,49915006.0,83138015.0,G1403,"Tricuspid stenosis and insufficiency, cause unspecified",G140500
1101,Other forms of heart disease,299623012.0,49915006.0,83138015.0,G1405,"Tricuspid stenosis and insufficiency, cause unspecified",G140500
1102,Other forms of heart disease,299623012.0,49915006.0,83138015.0,G1405-4,"Tricuspid stenosis and insufficiency, cause unspecified",G140500
1103,Other forms of heart disease,1222308012.0,49915006.0,83138015.0,G1405-1,"Tricuspid stenosis and regurgitation, cause unspecified",G140514
1104,Other forms of heart disease,1222308012.0,49915006.0,83138015.0,^ESCTTS330814,"Tricuspid stenosis and regurgitation, cause unspecified",G140514
1105,Other forms of heart disease,1222308012.0,49915006.0,83138015.0,^ESCTTR330812,"Tricuspid stenosis and regurgitation, cause unspecified",G140514
1106,Other forms of heart disease,1222308012.0,49915006.0,83138015.0,^ESCTTR330813,"Tricuspid stenosis and regurgitation, cause unspecified",G140514
1107,Other forms of heart disease,1222308012.0,49915006.0,83138015.0,G1403,"Tricuspid stenosis and regurgitation, cause unspecified",G140514
1108,Other forms of heart disease,1222308012.0,49915006.0,83138015.0,G1405,"Tricuspid stenosis and regurgitation, cause unspecified",G140514
1109,Other forms of heart disease,1222308012.0,49915006.0,83138015.0,G1405-4,"Tricuspid stenosis and regurgitation, cause unspecified",G140514
1110,Other forms of heart disease,81191015.0,48724000.0,81193017.0,G5401,Mitral valve incompetence,G540.00
1111,Other forms of heart disease,81191015.0,48724000.0,81193017.0,^ESCTMI328853,Mitral valve incompetence,G540.00
1112,Other forms of heart disease,81191015.0,48724000.0,81193017.0,^ESCTMR328852,Mitral valve incompetence,G540.00
1113,Other forms of heart disease,81191015.0,48724000.0,81193017.0,^ESCTMI328851,Mitral valve incompetence,G540.00
1114,Other forms of heart disease,81191015.0,48724000.0,81193017.0,G540-4,Mitral valve incompetence,G540.00
1115,Other forms of heart disease,81191015.0,48724000.0,81193017.0,G540-2,Mitral valve incompetence,G540.00
1116,Other forms of heart disease,81191015.0,48724000.0,81193017.0,G540,Mitral valve incompetence,G540.00
1117,Other forms of heart disease,81191015.0,48724000.0,81193017.0,^ESCTMI328848,Mitral valve incompetence,G540.00
1118,Other forms of heart disease,81191015.0,48724000.0,81193017.0,G540-6,Mitral valve incompetence,G540.00
1119,Other forms of heart disease,81192010.0,48724000.0,81192010.0,G5401,Mitral valve insufficiency,G540.12
1120,Other forms of heart disease,81192010.0,48724000.0,81192010.0,^ESCTMI328853,Mitral valve insufficiency,G540.12
1121,Other forms of heart disease,81192010.0,48724000.0,81192010.0,^ESCTMR328852,Mitral valve insufficiency,G540.12
1122,Other forms of heart disease,81192010.0,48724000.0,81192010.0,^ESCTMI328851,Mitral valve insufficiency,G540.12
1123,Other forms of heart disease,81192010.0,48724000.0,81192010.0,G540-4,Mitral valve insufficiency,G540.12
1124,Other forms of heart disease,81192010.0,48724000.0,81192010.0,G540-2,Mitral valve insufficiency,G540.12
1125,Other forms of heart disease,81192010.0,48724000.0,81192010.0,G540,Mitral valve insufficiency,G540.12
1126,Other forms of heart disease,81192010.0,48724000.0,81192010.0,^ESCTMI328848,Mitral valve insufficiency,G540.12
1127,Other forms of heart disease,81192010.0,48724000.0,81192010.0,G540-6,Mitral valve insufficiency,G540.12
1128,Other forms of heart disease,81186016.0,48724000.0,81186016.0,G5401,Mitral valve regurgitation,G540.14
1129,Other forms of heart disease,81186016.0,48724000.0,81186016.0,^ESCTMI328853,Mitral valve regurgitation,G540.14
1130,Other forms of heart disease,81186016.0,48724000.0,81186016.0,^ESCTMR328852,Mitral valve regurgitation,G540.14
1131,Other forms of heart disease,81186016.0,48724000.0,81186016.0,^ESCTMI328851,Mitral valve regurgitation,G540.14
1132,Other forms of heart disease,81186016.0,48724000.0,81186016.0,G540-4,Mitral valve regurgitation,G540.14
1133,Other forms of heart disease,81186016.0,48724000.0,81186016.0,G540-2,Mitral valve regurgitation,G540.14
1134,Other forms of heart disease,81186016.0,48724000.0,81186016.0,G540,Mitral valve regurgitation,G540.14
1135,Other forms of heart disease,81186016.0,48724000.0,81186016.0,^ESCTMI328848,Mitral valve regurgitation,G540.14
1136,Other forms of heart disease,81186016.0,48724000.0,81186016.0,G540-6,Mitral valve regurgitation,G540.14
1137,Other forms of heart disease,700891000006114.0,409712001.0,2471474013.0,G540-5,Mitral valve prolapse,G540.15
1138,Other forms of heart disease,700891000006114.0,409712001.0,2471474013.0,G5402,Mitral valve prolapse,G540.15
1139,Other forms of heart disease,700891000006114.0,409712001.0,2471474013.0,^ESCTMV678286,Mitral valve prolapse,G540.15
1140,Other forms of heart disease,81193017.0,48724000.0,81193017.0,G5401,Mitral regurgitation,G540.16
1141,Other forms of heart disease,81193017.0,48724000.0,81193017.0,^ESCTMI328853,Mitral regurgitation,G540.16
1142,Other forms of heart disease,81193017.0,48724000.0,81193017.0,^ESCTMR328852,Mitral regurgitation,G540.16
1143,Other forms of heart disease,81193017.0,48724000.0,81193017.0,^ESCTMI328851,Mitral regurgitation,G540.16
1144,Other forms of heart disease,81193017.0,48724000.0,81193017.0,G540-4,Mitral regurgitation,G540.16
1145,Other forms of heart disease,81193017.0,48724000.0,81193017.0,G540-2,Mitral regurgitation,G540.16
1146,Other forms of heart disease,81193017.0,48724000.0,81193017.0,G540,Mitral regurgitation,G540.16
1147,Other forms of heart disease,81193017.0,48724000.0,81193017.0,^ESCTMI328848,Mitral regurgitation,G540.16
1148,Other forms of heart disease,81193017.0,48724000.0,81193017.0,G540-6,Mitral regurgitation,G540.16
1149,Other forms of heart disease,299980014.0,194978002.0,299980014.0,G5400-99,"Mitral incompetence, non-rheumatic",G540000
1150,Other forms of heart disease,299980014.0,194978002.0,299980014.0,^ESCTNO477674,"Mitral incompetence, non-rheumatic",G540000
1151,Other forms of heart disease,299980014.0,194978002.0,299980014.0,G5400,"Mitral incompetence, non-rheumatic",G540000
1152,Other forms of heart disease,299981013.0,48724000.0,81186016.0,G5401,"Mitral incompetence, cause unspecified",G540100
1153,Other forms of heart disease,299981013.0,48724000.0,81186016.0,^ESCTMI328853,"Mitral incompetence, cause unspecified",G540100
1154,Other forms of heart disease,299981013.0,48724000.0,81186016.0,^ESCTMR328852,"Mitral incompetence, cause unspecified",G540100
1155,Other forms of heart disease,299981013.0,48724000.0,81186016.0,^ESCTMI328851,"Mitral incompetence, cause unspecified",G540100
