Condition,MedCode,Term
Systemic connective tissue disorders,3483631000006115,Leukocytoclastic angiitis
Systemic connective tissue disorders,3483611000006114,Leucocytoclastic vasculitis
Systemic connective tissue disorders,3483571000006116,Allergic vasculitis
Systemic connective tissue disorders,3319131000006115,Anti-GBM nephritis with pulmonary haemorrhage
Systemic connective tissue disorders,3483621000006118,Leucocytoclastic angiitis
Systemic connective tissue disorders,3483601000006111,Trisymptome
Systemic connective tissue disorders,3319111000006114,Pulmonary haemosiderosis with glomerulonephritis
Systemic connective tissue disorders,3319091000006117,Anti-GBM nephritis with pulmonary hemorrhage
Systemic connective tissue disorders,2214081000000112,Anti GBM disease - Antiglomerular basement membrane disease
Systemic connective tissue disorders,3483561000006111,Leukocytoclastic vasculitis
Systemic connective tissue disorders,84262013,Goodpasture's syndrome
Systemic connective tissue disorders,354518011,Antiglomerular basement membrane disease
Systemic connective tissue disorders,354520014,Goodpasture's disease
Systemic connective tissue disorders,100606014,Hypersensitivity angiitis
Systemic connective tissue disorders,789831000006117,Hypersensitivity arteritis
Systemic connective tissue disorders,300587011,Thrombotic microangiopathy NOS
Systemic connective tissue disorders,473369018,Megakaryocytic hypoplasia
Systemic connective tissue disorders,659741000006118,Extracorporeal shockwave lithotripsy stone in lower ureter
Systemic connective tissue disorders,659751000006116,Extracorporeal shockwave lithotripsy ureteric calculus NOS
Systemic connective tissue disorders,2818541000006118,ESWL - Extracorporeal shockwave lithotripsy of ureteric calculus
Systemic connective tissue disorders,4670411000006110,Extracorporeal shockwave lithotripsy for stone in upper ureter
Systemic connective tissue disorders,6477801000006117,Disorder characterised by purpura
Systemic connective tissue disorders,3770791000006119,TTP
Systemic connective tissue disorders,272604014,Extracorporeal shockwave therapy for stone in upper ureter
Systemic connective tissue disorders,294334017,Purpura and other haemorrhagic conditions
Systemic connective tissue disorders,129661016,Thrombotic thrombocytopenic purpura
Systemic connective tissue disorders,272605010,Extracorporeal shockwave lithotripsy for stone in mid-ureter
Systemic connective tissue disorders,444860010,Thrombocytopenic purpura
Systemic connective tissue disorders,480263010,Extracorporeal shockwave lithotripsy of ureteric calculus
Systemic connective tissue disorders,503763019,Moschcowitz syndrome
Systemic connective tissue disorders,867331000006116,Ureteric lithotripsy
Systemic connective tissue disorders,294376013,Other specified primary thrombocytopenia
Systemic connective tissue disorders,1492272016,Purpura
Systemic connective tissue disorders,135665013,Thrombotic microangiopathy
Systemic connective tissue disorders,649701000006117,Evan's syndrome
Systemic connective tissue disorders,3770811000006115,TTP - Thrombotic thrombocytopenic purpura
Systemic connective tissue disorders,3770781000006117,Moschowitz's syndrome
Systemic connective tissue disorders,6477811000006119,Disorder characterized by purpura
Systemic connective tissue disorders,659581000006117,Extracorp shockwave lithotripsy of unspec ureteric calculus
Systemic connective tissue disorders,659731000006111,Extracorporeal shockwave lithotripsy of ureteric calculus OS
Systemic connective tissue disorders,4779041000006116,Wegener granulomatosis
Systemic connective tissue disorders,4779031000006114,Necrotizing respiratory granulomatosis
Systemic connective tissue disorders,4779011000006115,Necrotising respiratory granulomatosis
Systemic connective tissue disorders,300579010,Wegener's granulomatosis
Systemic connective tissue disorders,2955624019,Granulomatosis with polyangiitis
Systemic connective tissue disorders,475140019,Aortic arch arteritis
Systemic connective tissue disorders,6206511000006112,Atypical coarctation
Systemic connective tissue disorders,6206421000006115,Acquired aortoarteritis
Systemic connective tissue disorders,6206491000006118,Idiopathic medial aortopathy AND arteriopathy
Systemic connective tissue disorders,6206591000006119,Takayasu disease
Systemic connective tissue disorders,6206551000006113,Sclerosing aortitis AND arteritis
Systemic connective tissue disorders,6206501000006114,Reverse coarctation
Systemic connective tissue disorders,6206401000006113,Takayasu's arteritis
Systemic connective tissue disorders,6206571000006115,Raeder-Harbitz syndrome
Systemic connective tissue disorders,6206541000006111,Nonspecific arteritis
Systemic connective tissue disorders,6206561000006110,Nonspecific aortoarteritis
Systemic connective tissue disorders,6206441000006110,Occlusive thromboarteriopathy
Systemic connective tissue disorders,6206461000006114,Aortitis syndrome
Systemic connective tissue disorders,6206431000006117,Aortic arch arteritis
Systemic connective tissue disorders,6206581000006117,Young female arteritis
Systemic connective tissue disorders,6206531000006118,Martorell syndrome
Systemic connective tissue disorders,6206521000006116,Takayasu's arteriopathy
Systemic connective tissue disorders,475145012,Pulseless disease
Systemic connective tissue disorders,6206471000006119,Aortic arch syndrome
Systemic connective tissue disorders,475138012,Takayasu's disease
Systemic connective tissue disorders,6206451000006112,Primary arteritis
Systemic connective tissue disorders,3562001000006118,Rhizomelic pseudopolyarthritis
Systemic connective tissue disorders,6635251000006112,TA - Temporal arteritis
Systemic connective tissue disorders,3562011000006115,Senile arthritis
Systemic connective tissue disorders,3562021000006111,PMR - Polymyalgia rheumatica
Systemic connective tissue disorders,6635261000006114,Temporal giant cell arteritis
Systemic connective tissue disorders,3561991000006115,Forestier-Certonciny syndrome
Systemic connective tissue disorders,1779388019,Temporal arteritis
Systemic connective tissue disorders,108529013,Polymyalgia rheumatica
Systemic connective tissue disorders,359513016,Giant cell arteritis with polymyalgia rheumatica
Systemic connective tissue disorders,2534171012,Giant cell arteritis
Systemic connective tissue disorders,1787110010,Horton's disease
Systemic connective tissue disorders,158050019,Polymyalgia
Systemic connective tissue disorders,300584016,Giant cell arteritis NOS
Systemic connective tissue disorders,1787109017,Cranial arteritis
Systemic connective tissue disorders,312576015,[X]Other giant cell arteritis
Systemic connective tissue disorders,5141661000006114,Giant cell arteritis without polymyalgia rheumatica
Systemic connective tissue disorders,2157271000000115,Microscopic polyangiitis
Systemic connective tissue disorders,5141541000006114,Primary necrotising vasculitis with granulomata
Systemic connective tissue disorders,3015291000006114,Angiitis
Systemic connective tissue disorders,5141571000006118,Primary necrotising arteritis with granulomata
Systemic connective tissue disorders,5141561000006113,Primary necrotizing arteritis with granulomata
Systemic connective tissue disorders,53457013,Vasculitis
Systemic connective tissue disorders,5141551000006111,Primary necrotizing vasculitis with granulomata
Systemic connective tissue disorders,1783725016,Necrotising angiitis
Systemic connective tissue disorders,309408013,Systemic lupus erythematosus NOS
Systemic connective tissue disorders,312579010,[X]Other forms of systemic lupus erythematosus
Systemic connective tissue disorders,308709013,Lupus erythematosus NOS
Systemic connective tissue disorders,4805601000006115,Lupus
Systemic connective tissue disorders,3400601000006117,SLE - Systemic lupus erythematosus
Systemic connective tissue disorders,92209015,Disseminated lupus erythematosus
Systemic connective tissue disorders,309405011,Drug-induced systemic lupus erythematosus
Systemic connective tissue disorders,308697013,Lupus erythematosus
Systemic connective tissue disorders,4805591000006111,LE - Lupus erythematosus
Systemic connective tissue disorders,92208011,Systemic lupus erythematosus
Systemic connective tissue disorders,301724011,Other diseases of lung
Systemic connective tissue disorders,301863012,[X]Other disorders of lung
Systemic connective tissue disorders,114251000006118,Systemic lupus erythematosus with organ or sys involv
Systemic connective tissue disorders,2814781000006110,Lung disorder
Systemic connective tissue disorders,2814791000006113,Pulmonary disease
Systemic connective tissue disorders,301761019,Lung disease NOS
Systemic connective tissue disorders,313676017,Other lung anomalies
Systemic connective tissue disorders,643341000006118,Endoscopic dilatation of ureteric orifice
Systemic connective tissue disorders,4670541000006110,Cystoscopic dilatation of ureteric orifice
Systemic connective tissue disorders,158372014,Neonatal lupus erythematosus
Systemic connective tissue disorders,4059661000006111,Neonatal lupus
Systemic connective tissue disorders,2517761000006112,Childhood type dermatomyositis
Systemic connective tissue disorders,1784692011,Juvenile dermatomyositis
Systemic connective tissue disorders,312580013,[X]Other dermatomyositis
Systemic connective tissue disorders,614691000006113,"Dermatopolymyositis, unspecified"
Systemic connective tissue disorders,5716441000006118,Nephroscopic ureteric stent procedure
Systemic connective tissue disorders,312591018,"[X]Dermatopolymyositis, unspecified"
Systemic connective tissue disorders,6566131000006119,Polymyositis with skin involvement
Systemic connective tissue disorders,366771000000110,Percutaneous ureteric stent procedures NOS
Systemic connective tissue disorders,6566121000006117,Wagner-Unverricht syndrome
Systemic connective tissue disorders,1776211019,Dermatomyositis
Systemic connective tissue disorders,366751000000118,Other specified percutaneous ureteric stent procedures
Systemic connective tissue disorders,1550191000006113,Percutaneous ureteric stent procedures
Systemic connective tissue disorders,143230018,Poikilodermatomyositis
Systemic connective tissue disorders,6566141000006112,DM - Dermatomyositis
Systemic connective tissue disorders,3005741000006110,Neuromyositis
Systemic connective tissue disorders,4782451000006111,Polymyositis with pulmonary involvement
Systemic connective tissue disorders,4782441000006114,Lung disease co-occurrent with polymyositis
Systemic connective tissue disorders,301719013,Lung disease with polymyositis
Systemic connective tissue disorders,3005751000006112,PM - Polymyositis
Systemic connective tissue disorders,52463013,Polymyositis
Systemic connective tissue disorders,312581012,[X]Other forms of systemic sclerosis
Systemic connective tissue disorders,7288571000006115,PSS - Progressive systemic sclerosis
Systemic connective tissue disorders,3949121000006119,Scleroderma syndrome
Systemic connective tissue disorders,3949111000006113,Thibierge-Weissenbach syndrome
Systemic connective tissue disorders,3949101000006111,Systemic scleroderma
Systemic connective tissue disorders,309413012,Scleroderma
Systemic connective tissue disorders,147833014,Systemic sclerosis
Systemic connective tissue disorders,3949131000006115,SS - Systemic sclerosis
Systemic connective tissue disorders,147834015,Progressive systemic sclerosis
Systemic connective tissue disorders,3012921000006111,"Calcinosis cutis, Raynaud's, oesophageal dysfunction, sclerodactyly AND telangiectasia"
Systemic connective tissue disorders,515061000006119,Bladder operations
Systemic connective tissue disorders,3524471000006117,Complete cystectomy
Systemic connective tissue disorders,3012951000006119,"CREST - Calcinosis, Raynaud's phenomenon, esophageal dysfunction, sclerodactyly, telangiectasia"
Systemic connective tissue disorders,4151741000006113,Cystectomy
Systemic connective tissue disorders,3524511000006110,Total resection of urinary bladder
Systemic connective tissue disorders,3012961000006117,"CREST - Calcinosis, Raynaud's phenomenon, sclerodactyly, esophageal involvement, telangiectasia syndrome"
Systemic connective tissue disorders,3012991000006113,"Calcinosis, Raynaud phenomenon, esophageal dysmotility, sclerodactyly, and telangiectasia (CREST) syndrome"
Systemic connective tissue disorders,1221573019,Total cystectomy NOS
Systemic connective tissue disorders,932491000006110,Urinary incontinence/sling opn
Systemic connective tissue disorders,445771010,Prostatectomy NEC
Systemic connective tissue disorders,53211014,CREST syndrome
Systemic connective tissue disorders,60504013,Suprapubic prostatectomy
Systemic connective tissue disorders,112263010,Retropubic prostatectomy
Systemic connective tissue disorders,272885014,Open prostatectomy
Systemic connective tissue disorders,499449013,Total cystectomy
Systemic connective tissue disorders,867371000006118,Radical cystectomy
Systemic connective tissue disorders,868071000006115,Prostatectomy
Systemic connective tissue disorders,988151000006119,Total cystectomy NOS
Systemic connective tissue disorders,272631012,Cystectomy NEC
Systemic connective tissue disorders,272793017,Bladder operations NOS
Systemic connective tissue disorders,3524481000006119,Total resection of bladder
Systemic connective tissue disorders,3012911000006115,"Calcinosis cutis, Raynaud's, esophageal dysfunction, sclerodactyly AND telangiectasia"
Systemic connective tissue disorders,134770016,Radical cystoprostatectomy
