Condition,MedCode,Term
Coronary heart disease,810811000006116,H/O: myocardial infarct at less than 60
Coronary heart disease,810821000006112,H/O: myocardial infarct at greater than 60
Coronary heart disease,251679016,H/O: angina pectoris
Coronary heart disease,451369010,H/O: Myocardial infarction in last year
Coronary heart disease,451370011,H/O: Angina in last year
Coronary heart disease,451372015,H/O: Treatment for ischaemic heart disease
Coronary heart disease,256748011,Exercise ECG abnormal
Coronary heart disease,2535824013,Positive exercise ECG test
Coronary heart disease,634751000006116,ECG myocardial ischaemia
Coronary heart disease,635641000006111,ECG:shows myocardial ischaemia
Coronary heart disease,256451015,ECG: myocardial ischaemia NOS
Coronary heart disease,256452010,ECG: myocardial infarction
Coronary heart disease,256455012,ECG: antero-septal infarct.
Coronary heart disease,256457016,ECG:posterior/inferior infarct
Coronary heart disease,256458014,ECG: subendocardial infarct
Coronary heart disease,256459018,ECG: lateral infarction
Coronary heart disease,256460011,ECG: myocardial infarct NOS
Coronary heart disease,635311000006117,ST depression
Coronary heart disease,256526019,ECG: T wave abnormal
Coronary heart disease,635441000006114,ECG: T wave flattened
Coronary heart disease,635451000006111,Inverted T wave
Coronary heart disease,256747018,Exercise tolerance test abnormal
Coronary heart disease,262247015,Coronary arteriography abnormal
Coronary heart disease,2474304012,Radionuclide heart study abnormal
Coronary heart disease,264492012,Angina control
Coronary heart disease,264493019,Angina control - good
Coronary heart disease,264494013,Angina control - poor
Coronary heart disease,264495014,Angina control - improving
Coronary heart disease,264496010,Angina control - worsening
Coronary heart disease,264497018,Angina control NOS
Coronary heart disease,460133017,Coronary heart disease annual review
Coronary heart disease,1484833014,Coronary heart disease review
Coronary heart disease,348644016,Coronary artery bypass graft operations
Coronary heart disease,1228282017,Saphenous vein graft replacement of coronary artery
Coronary heart disease,161451000006116,Saphenous vein graft replacement of coronary artery
Coronary heart disease,271073015,Saphenous vein graft replacement of one coronary artery
Coronary heart disease,271074014,Aortocoronary artery bypass of two coronary arteries with saphenous vein graft
Coronary heart disease,271075010,Aortocoronary artery bypass of three coronary arteries with saphenous vein graft
Coronary heart disease,161491000006110,Aortocoronary artery bypass of four or more coronary arteries with saphenous vein graft
Coronary heart disease,161481000006112,Aortocoronary artery bypass graft with saphenous vein graft
Coronary heart disease,271079016,Saphenous vein graft replacement coronary artery NOS
Coronary heart disease,1221554018,Other autograft bypass of coronary artery
Coronary heart disease,271081019,Autograft replacement of one coronary artery NEC
Coronary heart disease,271082014,Autograft replacement of two coronary arteries NEC
Coronary heart disease,271083016,Autograft replacement of three coronary arteries NEC
Coronary heart disease,271084010,Autograft replacement of four of more coronary arteries NEC
Coronary heart disease,36861000006113,Other autograft replacement of coronary artery OS
Coronary heart disease,271086012,Other autograft replacement of coronary artery NOS
Coronary heart disease,271088013,Allograft replacement of coronary artery
Coronary heart disease,271087015,Allograft bypass of coronary artery
Coronary heart disease,271089017,Allograft replacement of one coronary artery
Coronary heart disease,271092018,Allograft replacement of two coronary arteries
Coronary heart disease,271093011,Allograft replacement of three coronary arteries
