Condition,MedCode,Term
Other forms of heart disease,299621014,"Tricuspid stenosis, cause unspecified"
Other forms of heart disease,299623012,"Tricuspid stenosis and insufficiency, cause unspecified"
Other forms of heart disease,884311000006117,Non-rheum. tricuspid stenosis
Other forms of heart disease,1222308012,"Tricuspid stenosis and regurgitation, cause unspecified"
Other forms of heart disease,4776881000006110,"Tricuspid valve regurgitation, nonrheumatic"
Other forms of heart disease,299994010,"Tricuspid incompetence, non-rheumatic"
Other forms of heart disease,299995011,"Tricuspid insufficiency, non-rheumatic"
Other forms of heart disease,299996012,"Tricuspid regurgitation, non-rheumatic"
Other forms of heart disease,884301000006115,Non-rheum. tricuspid incomp.
Other forms of heart disease,297501000006112,Nonrheumatic tricuspid valve stenosis with insufficiency
Other forms of heart disease,4776911000006110,Non-rheumatic tricuspid valve stenosis with insufficiency
Other forms of heart disease,300895015,[X]Other pulmonary valve disorders
Other forms of heart disease,3422461000006111,PVS - Pulmonary valve stenosis
Other forms of heart disease,193911000006111,"Pulmonary stenosis, cause unspecified"
Other forms of heart disease,193991000006118,Pulmonary valve disorders
Other forms of heart disease,424311000006118,[X]Pulmonary valve disorders in diseases CE
Other forms of heart disease,3422481000006118,PS - Pulmonary valve stenosis
Other forms of heart disease,3740531000006111,Pulmonic valve disorder
Other forms of heart disease,3422471000006116,Pulmonic stenosis
Other forms of heart disease,4777011000006111,"Pulmonary valve stenosis, nonrheumatic"
Other forms of heart disease,411247019,O/E - pulmonary murmur
Other forms of heart disease,300010011,"Pulmonary stenosis, cause unspecified"
Other forms of heart disease,3422491000006115,Pulmonary stenosis
Other forms of heart disease,5571611000006118,On examination - pulmonary murmur
Other forms of heart disease,300008014,"Pulmonary stenosis, non-rheumatic"
Other forms of heart disease,3740551000006115,PVD - Pulmonary valve disease
Other forms of heart disease,300012015,Pulmonary valve disorders NOS
Other forms of heart disease,3422451000006114,Pulmonary valve stenosis
Other forms of heart disease,1222316015,"Pulmonary regurgitation, cause unspecified"
Other forms of heart disease,1222317012,"Pulmonary insufficiency, cause unspecified"
Other forms of heart disease,3985541000006111,Pulmonic insufficiency
Other forms of heart disease,3985481000006116,Pulmonary valve incompetence
Other forms of heart disease,3985501000006113,Pulmonary valve regurgitation
Other forms of heart disease,3985491000006119,Pulmonic regurgitation
Other forms of heart disease,4776951000006111,"Pulmonary valve regurgitation, nonrheumatic"
