Condition,MedCode,Term
Diverticular disease of the intestine,886341000006110,Diverticular disease NOS
Diverticular disease of the intestine,6597011000006113,Diverticulosis of the colon
Diverticular disease of the intestine,11924441000006112,Diverticulosis unspecified
Diverticular disease of the intestine,12452641000006118,Perforated diverticulum
Diverticular disease of the intestine,11904811000006120,Perforated diverticulum unspecified
Diverticular disease of the intestine,1222658010,Appendicular diverticulum
Diverticular disease of the intestine,105596011,Diverticula of intestine
Diverticular disease of the intestine,1777478012,Diverticular disease
Diverticular disease of the intestine,1786007012,Diverticulosis
Diverticular disease of the intestine,303123015,Diverticulosis of the duodenum
Diverticular disease of the intestine,303124014,Diverticulosis of the jejunum
Diverticular disease of the intestine,303126011,Diverticulosis of the ileum
Diverticular disease of the intestine,303127019,Diverticulosis of the small intestine unspecified
Diverticular disease of the intestine,303128012,Diverticulosis of the small intestine NOS
Diverticular disease of the intestine,1786077011,Diverticulosis of the colon
Diverticular disease of the intestine,303131013,Diverticulosis of the large intestine unspecified
Diverticular disease of the intestine,303132018,Diverticulosis of the large intestine NOS
Diverticular disease of the intestine,626561000006118,Divertic dis/both sml+lge intestin without perfor or abscess
Diverticular disease of the intestine,303134017,Bleeding diverticulosis
Diverticular disease of the intestine,303135016,Diverticulosis unspecified
Diverticular disease of the intestine,303136015,Diverticulosis NOS
Diverticular disease of the intestine,450775010,Diverticulitis
Diverticular disease of the intestine,485644015,Diverticulitis of the duodenum
Diverticular disease of the intestine,626681000006110,Diverticulitis of the jejunum
Diverticular disease of the intestine,500628015,Diverticulitis of the ileum
Diverticular disease of the intestine,303141011,Diverticulitis of the small intestine unspecified
Diverticular disease of the intestine,303142016,Diverticulitis of the small intestine NOS
Diverticular disease of the intestine,626651000006119,Diverticulitis of the colon
Diverticular disease of the intestine,303143014,Diverticulitis of the large intestine unspecified
Diverticular disease of the intestine,303144015,Diverticulitis of the large intestine NOS
Diverticular disease of the intestine,303145019,Diverticulitis unspecified
Diverticular disease of the intestine,303146018,Diverticulitis NOS
Diverticular disease of the intestine,303147010,Perforated diverticulum
Diverticular disease of the intestine,303148017,Perforated diverticulum of duodenum
Diverticular disease of the intestine,303149013,Perforated diverticulum of jejunum
Diverticular disease of the intestine,303150013,Perforated diverticulum of ileum
Diverticular disease of the intestine,303151012,Perforated diverticulum of small intestine unspecified
Diverticular disease of the intestine,303152017,Perforated diverticulum of small intestine NOS
Diverticular disease of the intestine,503419012,Perforated diverticulum of colon
Diverticular disease of the intestine,303153010,Perforated diverticulum of large intestine unspecified
Diverticular disease of the intestine,303154016,Perforated diverticulum of large intestine NOS
Diverticular disease of the intestine,626571000006113,Divertic disease/both sml+lge intestin with perforat+abscess
Diverticular disease of the intestine,303156019,Perforated diverticulum unspecified
Diverticular disease of the intestine,303157011,Perforated diverticulum of intestine NOS
Diverticular disease of the intestine,353440011,Diverticular abscess
Diverticular disease of the intestine,303159014,Diverticula of the intestine NOS
