Condition,MedCode,Term
Ischaemic heart diseases,271168012,Replacement of coronary artery NOS
Ischaemic heart diseases,271169016,Coronary artery bypass graft
Ischaemic heart diseases,271170015,Other specified other bypass of coronary artery
Ischaemic heart diseases,271171016,Other bypass of coronary artery NOS
Ischaemic heart diseases,1547631000006117,Percutaneous transluminal balloon angioplasty with insertion of stent into coronary artery
Ischaemic heart diseases,1547641000006110,Percutaneous transluminal balloon angioplasty and insertion of drug eluting stent into coronary artery
Ischaemic heart diseases,1547651000006112,Perc tran ball angio ins 3 or more drug elut stents cor art
Ischaemic heart diseases,1547661000006114,Perc translum balloon angioplasty insert 1-2 stents cor art
Ischaemic heart diseases,1547671000006119,Percutaneous cor balloon angiop 3 more stents cor art NEC
Ischaemic heart diseases,1547681000006116,OS perc translumina balloon angioplast stenting coronary art
Ischaemic heart diseases,1547691000006118,Perc translum balloon angioplasty stenting coronary art NOS
Ischaemic heart diseases,272107018,Percutaneous balloon angioplasty of artery
Ischaemic heart diseases,272117011,Rotary blade angioplasty
Ischaemic heart diseases,1548361000006119,Percutaneous endarterectomy
Ischaemic heart diseases,2675882017,Percutaneous transluminal balloon angioplasty of artery
Ischaemic heart diseases,272295013,Peroperative angioplasty
Ischaemic heart diseases,456362017,Prosthetic graft patch angioplasty
Ischaemic heart diseases,456363010,Percutaneous transluminal angioplasty of vascular graft
Ischaemic heart diseases,616081000006113,Diabetes mellitus insulin-glucose infusion in acute myocardial infarction
Ischaemic heart diseases,451425016,Antianginal therapy
Ischaemic heart diseases,1488440011,Coronary heart disease medication review
Ischaemic heart diseases,585631000000113,Emergency hospital admission for ischaemic heart disease
Ischaemic heart diseases,2534664018,Ischaemic heart disease
Ischaemic heart diseases,2536393012,Arteriosclerotic heart disease
Ischaemic heart diseases,89332015,Atherosclerotic heart disease
Ischaemic heart diseases,2537480011,IHD - Ischaemic heart disease
Ischaemic heart diseases,94884017,Acute myocardial infarction
Ischaemic heart diseases,219521000000119,Attack - heart
Ischaemic heart diseases,1786197015,Coronary thrombosis
Ischaemic heart diseases,537751000006115,Cardiac rupture after acute myocardial infarction
Ischaemic heart diseases,37443015,Heart attack
Ischaemic heart diseases,219531000000117,MI - acute myocardial infarction
Ischaemic heart diseases,1786198013,Thrombosis - coronary
Ischaemic heart diseases,350376014,Silent myocardial infarction
Ischaemic heart diseases,455641000006112,Acute anterolateral myocardial infarction
Ischaemic heart diseases,299707016,Acute anterior myocardial infarction
Ischaemic heart diseases,299708014,Acute anteroapical infarction
Ischaemic heart diseases,455651000006114,Acute anteroseptal myocardial infarction
Ischaemic heart diseases,299709018,Anterior myocardial infarction NOS
Ischaemic heart diseases,457531000006110,Acute inferolateral myocardial infarction
Ischaemic heart diseases,1234005010,Acute inferoposterior infarction
Ischaemic heart diseases,299710011,Acute posterior myocardial infarction
Ischaemic heart diseases,299711010,Acute lateral myocardial infarction
Ischaemic heart diseases,299712015,True posterior myocardial infarction
Ischaemic heart diseases,116992017,Acute subendocardial infarction
Ischaemic heart diseases,450322013,Acute non-Q wave infarction
Ischaemic heart diseases,1780501013,Acute non-ST segment elevation myocardial infarction
Ischaemic heart diseases,299714019,Acute myocardial infarction of inferior wall
Ischaemic heart diseases,447324018,Acute Q-wave infarct
Ischaemic heart diseases,1235655012,Mural thrombosis
Ischaemic heart diseases,967931000006114,Acute myocardial infarction of posterolateral wall
Ischaemic heart diseases,460681000006116,Acute transmural myocardial infarction of unspecif site
Ischaemic heart diseases,1780491019,Acute ST segment elevation myocardial infarction
Ischaemic heart diseases,299718016,Other acute myocardial infarction
Ischaemic heart diseases,299719012,Acute atrial infarction
