Condition,MedCode,Term
Ischaemic heart diseases,67081000006119,Ventric septal defect/curr comp fol acut myocardal infarctn
Ischaemic heart diseases,504844017,Chest pain on exertion
Ischaemic heart diseases,2536393012,Arteriosclerotic heart disease
Ischaemic heart diseases,482811000006113,Angina at rest
Ischaemic heart diseases,299757012,Angina pectoris
Ischaemic heart diseases,635311000006117,ECG: S-T depression
Ischaemic heart diseases,299783019,Double coronary vessel disease
Ischaemic heart diseases,1547651000006112,Perc tran ball angio ins 3 or more drug elut stents cor art
Ischaemic heart diseases,271126012,Single implantation of mammary artery into coronary artery
Ischaemic heart diseases,219531000000117,MI - acute myocardial infarction
Ischaemic heart diseases,2534664018,Ischaemic heart disease
Ischaemic heart diseases,457531000006110,Acute inferolateral infarction
Ischaemic heart diseases,314321000000119,Suspected ischaemic heart disease
Ischaemic heart diseases,264494013,Angina control - poor
Ischaemic heart diseases,299712015,True posterior myocardial infarction
Ischaemic heart diseases,348644016,Coronary artery bypass graft operations
Ischaemic heart diseases,628021000006118,Double implant of mammary arteries into coronary arteries
Ischaemic heart diseases,2160096015,Coronary artery bypass graft occlusion
Ischaemic heart diseases,109916013,Dressler's syndrome
Ischaemic heart diseases,1235573016,Ventricular cardiac aneurysm
Ischaemic heart diseases,451370011,H/O: Angina in last year
Ischaemic heart diseases,616081000006113,Diab mellit insulin-glucose infus acute myocardial infarct
Ischaemic heart diseases,498031000006112,Atrial septal defect/curr comp folow acut myocardal infarct
Ischaemic heart diseases,1227364015,[V]Presence of coronary artery bypass graft - CABG
Ischaemic heart diseases,271099010,Prosthetic replacement of one coronary artery
Ischaemic heart diseases,100681000006116,"Thrombosis atrium,auric append&vent/curr comp foll acute MI"
Ischaemic heart diseases,543291000006110,Certain current complication follow acute myocardial infarct
Ischaemic heart diseases,2537480011,IHD - Ischaemic heart disease
Ischaemic heart diseases,2535824013,Positive exercise ECG test
Ischaemic heart diseases,1780491019,Acute ST segment elevation myocardial infarction
Ischaemic heart diseases,256508017,ECG: Q wave abnormal
Ischaemic heart diseases,37443015,Heart attack
Ischaemic heart diseases,2210191000000118,Referral to Angina Plan self-management programme
Ischaemic heart diseases,682481000006118,Myocardial infarction aborted
Ischaemic heart diseases,238571000006114,Percut translum balloon angioplasty mult coronary arteries
Ischaemic heart diseases,158601000006116,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI
Ischaemic heart diseases,212071000006114,Postoperative transmural myocardial infarction inferior wall
Ischaemic heart diseases,455651000006114,Acute anteroseptal infarction
Ischaemic heart diseases,456362017,Prosthetic graft patch angioplasty
Ischaemic heart diseases,271073015,Saphenous vein graft replacement of one coronary artery
Ischaemic heart diseases,264496010,Angina control - worsening
Ischaemic heart diseases,1547641000006110,Perc translum ball angio insert 1-2 drug elut stents cor art
Ischaemic heart diseases,158611000006118,Ruptur chordae tendinae/curr comp fol acute myocard infarct
Ischaemic heart diseases,459483011,Coronary heart disease monitoring refused
Ischaemic heart diseases,451369010,H/O: Myocardial infarction in last year
Ischaemic heart diseases,450322013,Acute non-Q wave infarction
Ischaemic heart diseases,401515016,Cardiac disease monitoring
Ischaemic heart diseases,451372015,H/O: Treatment for ischaemic heart disease
Ischaemic heart diseases,2173281000000112,H/O acute coronary syndrome
Ischaemic heart diseases,299708014,Acute anteroapical infarction
