Condition,MedCode,Term
Spinal degenerative disease ,1553201000006117,Primary percut intrad radio thermocoag cerv intervert disc
Spinal degenerative disease ,297148015,Myelopathy due to intervertebral disc disease
Spinal degenerative disease ,677791000006119,Nerve root and plexus compressions in intervert disc disord
Spinal degenerative disease ,219621000000118,Intervertebral disc disorders
Spinal degenerative disease ,400273014,Cervical disc displacement without myelopathy
Spinal degenerative disease ,400272016,Prolapsed cervical intervertebral disc without myelopathy
Spinal degenerative disease ,543591000006113,Cervical disc displacement
Spinal degenerative disease ,311131010,Thoracic disc displacement without myelopathy
Spinal degenerative disease ,311130011,Prolapsed thoracic intervertebral disc without myelopathy
Spinal degenerative disease ,733681000006111,Lumbar disc displacement
Spinal degenerative disease ,311132015,Prolapsed lumbar intervertebral disc
Spinal degenerative disease ,400274015,"Disc displacement, site unspecified, without myelopathy"
Spinal degenerative disease ,359855017,Intervertebral disc prolapse NOS
Spinal degenerative disease ,359854018,Prolapsed intervertebral disc without myelopathy
Spinal degenerative disease ,75341011,Schmorl's nodes
Spinal degenerative disease ,311137014,Schmorl's nodes of unspecified region
Spinal degenerative disease ,155341000006118,Schmorl's nodes of the thoracic region
Spinal degenerative disease ,155331000006111,Schmorl's nodes of the lumbar region
Spinal degenerative disease ,311140014,"Schmorl's nodes, region NOS"
Spinal degenerative disease ,543561000006117,Cervical disc degeneration
Spinal degenerative disease ,106481000006117,Thoracic disc degeneration
Spinal degenerative disease ,733661000006118,Lumbar disc degeneration
Spinal degenerative disease ,311141013,Degenerative disc disease NOS
Spinal degenerative disease ,400275019,Disc disorder with myelopathy
Spinal degenerative disease ,202401000006112,Prolapsed intervertebral disc with associated myelopathy
Spinal degenerative disease ,311145016,Unspecified disc disorder with myelopathy
Spinal degenerative disease ,311146015,Cervical disc disorder with myelopathy
Spinal degenerative disease ,311147012,Thoracic disc disorder with myelopathy
Spinal degenerative disease ,311148019,Lumbar disc disorder with myelopathy
Spinal degenerative disease ,311149010,Disc disorder with myelopathy NOS
Spinal degenerative disease ,311159011,Disc prolapse with myelopathy
