Condition,MedCode,Term
Arthrosis,359389010,Finger osteoarthritis NOS
Arthrosis,359388019,Thumb osteoarthritis NOS
Arthrosis,400186012,"Osteoarthritis NOS, pelvic region/thigh"
Arthrosis,221511000000115,Hip osteoarthritis NOS
Arthrosis,400187015,"Osteoarthritis NOS, of the lower leg"
Arthrosis,221521000000114,Knee osteoarthritis NOS
Arthrosis,400188013,"Osteoarthritis NOS, of ankle and foot"
Arthrosis,359385016,Ankle osteoarthritis NOS
Arthrosis,359384017,Foot osteoarthritis NOS
Arthrosis,359383011,Toe osteoarthritis NOS
Arthrosis,310010015,"Osteoarthritis NOS, other specified site"
Arthrosis,310011016,"Osteoarthritis NOS, of shoulder"
Arthrosis,310012011,"Osteoarthritis NOS, of sternoclavicular joint"
Arthrosis,310013018,"Osteoarthritis NOS, of acromioclavicular joint"
Arthrosis,310014012,"Osteoarthritis NOS, of elbow"
Arthrosis,31041000006113,"Osteoarthritis NOS, of distal radio-ulnar joint"
Arthrosis,310016014,"Osteoarthritis NOS, of wrist"
Arthrosis,31101000006110,"Osteoarthritis NOS, of MCP joint"
Arthrosis,18051000006110,"Osteoarthritis NOS, of PIP joint of finger"
Arthrosis,31031000006115,"Osteoarthritis NOS, of DIP joint of finger"
Arthrosis,310020013,"Osteoarthritis NOS, of hip"
Arthrosis,18061000006112,"Osteoarthritis NOS, of sacro-iliac joint"
Arthrosis,310024016,"Osteoarthritis NOS, of knee"
Arthrosis,18121000006117,"Osteoarthritis NOS, of tibio-fibular joint"
Arthrosis,310026019,"Osteoarthritis NOS, of ankle"
Arthrosis,310027011,"Osteoarthritis NOS, of subtalar joint"
Arthrosis,310028018,"Osteoarthritis NOS, of talonavicular joint"
Arthrosis,310029014,"Osteoarthritis NOS, of other tarsal joint"
Arthrosis,41301000006112,"Osteoarthritis NOS, of 1st MTP joint"
Arthrosis,31091000006116,"Osteoarthritis NOS, of lesser MTP joint"
Arthrosis,31071000006117,"Osteoarthritis NOS, of IP joint of toe"
Arthrosis,400182014,Osteoarthritis NOS
Arthrosis,312535012,[X]Arthrosis
Arthrosis,312536013,[X]Other polyarthrosis
Arthrosis,312537016,[X]Other primary coxarthrosis
Arthrosis,312538014,[X]Other dysplastic coxarthrosis
