Condition,MedCode,Term
Adrenal insufficiency and Addison's disease,485064014,Excision of adrenal gland operations
Adrenal insufficiency and Addison's disease,266381013,Bilateral adrenalectomy and transposition of adrenal tissue
Adrenal insufficiency and Addison's disease,266382018,Bilateral adrenalectomy
Adrenal insufficiency and Addison's disease,286325014,Tuberculosis of adrenal glands - Addison's disease
Adrenal insufficiency and Addison's disease,1491626013,Corticoadrenal insufficiency
Adrenal insufficiency and Addison's disease,482035011,Acute adrenal insufficiency
Adrenal insufficiency and Addison's disease,460981000006112,Addisonian crisis
Adrenal insufficiency and Addison's disease,41676015,Adrenal crisis
Adrenal insufficiency and Addison's disease,485624014,Addison's disease
Adrenal insufficiency and Addison's disease,41677012,Addisonian crisis
Adrenal insufficiency and Addison's disease,398809019,Corticoadrenal insufficiency NOS
Adrenal insufficiency and Addison's disease,178805019,Adrenal hypofunction
Adrenal insufficiency and Addison's disease,356317017,Adrenal insufficiency
Adrenal insufficiency and Addison's disease,292837019,Hypoadrenalism
Adrenal insufficiency and Addison's disease,292838012,Other adrenal hypofunction NOS
Adrenal insufficiency and Addison's disease,682621000006119,Myopathy due to Addison's disease
