Condition,MedCode,Term
Mood disorders ,142541000006115,"Single major depressive episode, severe, without psychosis"
Mood disorders ,294828015,"Single major depressive episode, severe, with psychosis"
Mood disorders ,142521000006110,"Single major depressive episode, partial or unspec remission"
Mood disorders ,294831019,"Single major depressive episode, in full remission"
Mood disorders ,294832014,Single major depressive episode NOS
Mood disorders ,182721000006111,Recurrent major depressive episode
Mood disorders ,410861011,Endogenous depression - recurrent
Mood disorders ,294836012,"Recurrent major depressive episodes, unspecified"
Mood disorders ,294837015,"Recurrent major depressive episodes, mild"
Mood disorders ,294838013,"Recurrent major depressive episodes, moderate"
Mood disorders ,182771000006112,"Recurrent major depressive episodes, severe, no psychosis"
Mood disorders ,294840015,"Recurrent major depressive episodes, severe, with psychosis"
Mood disorders ,182801000006114,"Recurrent major depressive episodes,partial/unspec remission"
Mood disorders ,294843018,"Recurrent major depressive episodes, in full remission"
Mood disorders ,294844012,Recurrent depression
Mood disorders ,294845013,Recurrent major depressive episode NOS
Mood disorders ,369982012,Seasonal affective disorder
Mood disorders ,294894013,Atypical depressive disorder
Mood disorders ,346973011,Masked depression
Mood disorders ,294917018,Reactive depressive psychosis
Mood disorders ,294918011,Psychotic reactive depression
Mood disorders ,138421012,Agitated depression
Mood disorders ,488211000006112,Anxiety with depression
Mood disorders ,202561000006114,Prolonged depressive reaction
Mood disorders ,295535012,Depressive disorder NEC
Mood disorders ,295537016,Chronic depression
Mood disorders ,376721000006114,[X]Depressive episode
Mood disorders ,426911000006111,[X]Single episode of depressive reaction
Mood disorders ,426941000006110,[X]Single episode of psychogenic depression
Mood disorders ,426971000006119,[X]Single episode of reactive depression
Mood disorders ,296137015,[X]Mild depressive episode
Mood disorders ,296138013,[X]Moderate depressive episode
Mood disorders ,401866015,[X]Severe depressive episode without psychotic symptoms
Mood disorders ,426891000006114,[X]Single episode agitated depressn w'out psychotic symptoms
Mood disorders ,223741000000112,[X]Single episode major depression w'out psychotic symptoms
Mood disorders ,426991000006118,[X]Single episode vital depression w'out psychotic symptoms
Mood disorders ,401869010,[X]Severe depressive episode with psychotic symptoms
Mood disorders ,426921000006115,[X]Single episode of major depression and psychotic symptoms
Mood disorders ,426951000006112,[X]Single episode of psychogenic depressive psychosis
Mood disorders ,426961000006114,[X]Single episode of psychotic depression
Mood disorders ,426981000006116,[X]Single episode of reactive depressive psychosis
Mood disorders ,213641000000111,[X]Mild depression
Mood disorders ,1715771000006112,"[X]Major depression, mild"
Mood disorders ,1715181000006114,"[X]Major depression, moderately severe"
Mood disorders ,1715781000006110,"[X]Major depression, severe without psychotic symptoms"
Mood disorders ,1715191000006112,"[X]Major depression, severe with psychotic symptoms"
Mood disorders ,1755901000006112,"Single major depressive episode, severe, with psychosis, psychosis in remission"
Mood disorders ,1755911000006110,"Recurrent major depressive episodes, severe, with psychosis, psychosis in remission"
Mood disorders ,401871010,[X]Other depressive episodes
Mood disorders ,366561000006119,[X]Atypical depression
Mood disorders ,426931000006117,[X]Single episode of masked depression NOS
Mood disorders ,401872015,"[X]Depressive episode, unspecified"
Mood disorders ,376691000006116,[X]Depression NOS
Mood disorders ,376711000006118,[X]Depressive disorder NOS
Mood disorders ,423611000006111,[X]Prolonged single episode of reactive depression
Mood disorders ,359121000006116,[X] Reactive depression NOS
Mood disorders ,401873013,[X]Recurrent depressive disorder
Mood disorders ,424631000006119,[X]Recurrent episodes of depressive reaction
Mood disorders ,424641000006112,[X]Recurrent episodes of psychogenic depression
Mood disorders ,424651000006114,[X]Recurrent episodes of reactive depression
Mood disorders ,425751000006115,[X]Seasonal depressive disorder
Mood disorders ,425411000006110,[X]SAD - Seasonal affective disorder
Mood disorders ,296180012,"[X]Recurrent depressive disorder, current episode mild"
Mood disorders ,296181011,"[X]Recurrent depressive disorder, current episode moderate"
Mood disorders ,424531000006118,[X]Recurr depress disorder cur epi severe without psyc sympt
Mood disorders ,379781000006118,[X]Endogenous depression without psychotic symptoms
Mood disorders ,396081000006116,"[X]Major depression, recurrent without psychotic symptoms"
Mood disorders ,432511000006119,"[X]Vital depression, recurrent without psychotic symptoms"
Mood disorders ,424571000006115,[X]Recurrent depress disorder cur epi severe with psyc symp
Mood disorders ,379771000006116,[X]Endogenous depression with psychotic symptoms
Mood disorders ,424541000006111,[X]Recurr severe episodes/major depression+psychotic symptom
Mood disorders ,424551000006113,[X]Recurr severe episodes/psychogenic depressive psychosis
Mood disorders ,424671000006116,[X]Recurrent severe episodes of psychotic depression
Mood disorders ,424681000006118,[X]Recurrent severe episodes/reactive depressive psychosis
Mood disorders ,296198011,"[X]Recurrent depressive disorder, currently in remission"
Mood disorders ,296199015,[X]Other recurrent depressive disorders
Mood disorders ,401876017,"[X]Recurrent depressive disorder, unspecified"
Mood disorders ,398841000006119,[X]Monopolar depression NOS
Mood disorders ,379431000006113,[X]Dysthymia
Mood disorders ,376741000006119,[X]Depressive neurosis
Mood disorders ,376751000006117,[X]Depressive personality disorder
Mood disorders ,399961000006118,[X]Neurotic depression
Mood disorders ,419841000006116,[X]Persistant anxiety depression
Mood disorders ,398561000006117,[X]Mixed anxiety and depressive disorder
Mood disorders ,398351000006110,[X]Mild anxiety depression
