Condition,MedCode,Term
Meniere disease,2981261000006116,Lermoyez's syndrome
Meniere disease,11925131000006110,Unspecified Meniere's disease
Meniere disease,710871000006110,Meniere's disease
Meniere disease,17117015,Endolymphatic hydrops
Meniere disease,50047017,Lermoyez's syndrome
Meniere disease,299159019,Unspecified Meniere's disease
Meniere disease,299160012,Active cochleovestibular Meniere's disease
Meniere disease,299161011,Active cochlear Meniere's disease
Meniere disease,299162016,Active vestibular Meniere's disease
Meniere disease,299163014,Inactive Meniere's disease
Meniere disease,299164015,Meniere's disease NOS
