Condition,MedCodeId,Term
"Disease of arteries, arterioles and capilleries",281211000006117,Gangrene associated with type 2 diabetes mellitus
"Disease of arteries, arterioles and capilleries",84881000006119,Type II diabetes mellitus with gangrene
"Disease of arteries, arterioles and capilleries",84511000006112,Type 2 diabetes mellitus with gangrene
"Disease of arteries, arterioles and capilleries",280561000006111,Non-insulin-dependent diabetes mellitus with peripheral angiopathy
"Disease of arteries, arterioles and capilleries",84961000006116,Type II diabetes mellitus with peripheral angiopathy
"Disease of arteries, arterioles and capilleries",84591000006119,Type 2 diabetes mellitus with peripheral angiopathy
"Disease of arteries, arterioles and capilleries",292541011,Type 1 diabetes mellitus with gangrene
"Disease of arteries, arterioles and capilleries",292543014,Type I diabetes mellitus with gangrene
"Disease of arteries, arterioles and capilleries",913621000006112,Insulin dependent diabetes mellitus with gangrene
"Disease of arteries, arterioles and capilleries",913931000006116,Type 1 diabetes mellitus with peripheral angiopathy
"Disease of arteries, arterioles and capilleries",292583018,Type 2 diabetes mellitus with gangrene
"Disease of arteries, arterioles and capilleries",292582011,Type II diabetes mellitus with gangrene
"Disease of arteries, arterioles and capilleries",459308015,Type 2 diabetes mellitus with peripheral angiopathy
"Disease of arteries, arterioles and capilleries",223991000000116,Aortoiliac disease
"Disease of arteries, arterioles and capilleries",300433019,Extremity artery atheroma
"Disease of arteries, arterioles and capilleries",300434013,Extremity artery atheroma NOS
"Disease of arteries, arterioles and capilleries",395791015,Other peripheral vascular disease
"Disease of arteries, arterioles and capilleries",350535018,Peripheral ischaemic vascular disease
"Disease of arteries, arterioles and capilleries",742481000006118,Ischaemic leg
"Disease of arteries, arterioles and capilleries",350533013,Peripheral ischaemia
"Disease of arteries, arterioles and capilleries",87208017,Thromboangiitis obliterans
"Disease of arteries, arterioles and capilleries",87210015,Buerger's disease
"Disease of arteries, arterioles and capilleries",300503012,Thromboangiitis obliterans NOS
"Disease of arteries, arterioles and capilleries",300504018,Peripheral gangrene
"Disease of arteries, arterioles and capilleries",300505017,Gangrene of toe
"Disease of arteries, arterioles and capilleries",300506016,Gangrene of foot
"Disease of arteries, arterioles and capilleries",443199013,Ischaemic foot
"Disease of arteries, arterioles and capilleries",300510018,Other specified peripheral vascular disease
"Disease of arteries, arterioles and capilleries",302011,Diabetic peripheral angiopathy
"Disease of arteries, arterioles and capilleries",300511019,Peripheral angiopathic disease EC NOS
"Disease of arteries, arterioles and capilleries",41903014,Acrocyanosis
"Disease of arteries, arterioles and capilleries",454901000006118,Acroparaesthesia - Schultze's type
"Disease of arteries, arterioles and capilleries",454891000006117,Acroparaesthesia - Nothnagel's type
"Disease of arteries, arterioles and capilleries",503681010,Nothnagel's vasomotor acroparaesthesia
"Disease of arteries, arterioles and capilleries",300512014,Acroparaesthesia - unspecified
"Disease of arteries, arterioles and capilleries",124092018,Erythrocyanosis
"Disease of arteries, arterioles and capilleries",61977017,Erythromelalgia
"Disease of arteries, arterioles and capilleries",300514010,Other specified peripheral vascular disease NOS
"Disease of arteries, arterioles and capilleries",235911000006116,Peripheral vascular disease
"Disease of arteries, arterioles and capilleries",105536013,Intermittent claudication
"Disease of arteries, arterioles and capilleries",411512011,Claudication
"Disease of arteries, arterioles and capilleries",300515011,Peripheral vascular disease NOS
"Disease of arteries, arterioles and capilleries",350564010,Aortoiliac obstruction
"Disease of arteries, arterioles and capilleries",300539018,Embolism and thrombosis of the femoral artery
"Disease of arteries, arterioles and capilleries",300540016,Embolism and thrombosis of the popliteal artery
"Disease of arteries, arterioles and capilleries",300541017,Embolism and thrombosis of the anterior tibial artery
"Disease of arteries, arterioles and capilleries",300542012,Embolism and thrombosis of the dorsalis pedis artery
"Disease of arteries, arterioles and capilleries",300547018,Embolism and thrombosis of a leg artery NOS
"Disease of arteries, arterioles and capilleries",300550015,Peripheral arterial embolism and thrombosis NOS
"Disease of arteries, arterioles and capilleries",300553018,Embolism and/or thrombosis of the common iliac artery
"Disease of arteries, arterioles and capilleries",300554012,Embolism and/or thrombosis of the internal iliac artery
"Disease of arteries, arterioles and capilleries",300555013,Embolism and/or thrombosis of the external iliac artery
"Disease of arteries, arterioles and capilleries",300556014,Embolism and thrombosis of the iliac artery unspecified
"Disease of arteries, arterioles and capilleries",300963017,[X]Other specified peripheral vascular diseases
"Disease of arteries, arterioles and capilleries",357895013,Ischaemic leg ulcer
"Disease of arteries, arterioles and capilleries",309177010,Ischaemic ulcer diabetic foot
"Disease of arteries, arterioles and capilleries",357894012,Arterial leg ulcer
"Disease of arteries, arterioles and capilleries",357893018,Mixed venous and arterial leg ulcer
"Disease of arteries, arterioles and capilleries",317347010,[D]Gangrene of toe in diabetic
"Disease of arteries, arterioles and capilleries",317348017,[D]Widespread diabetic foot gangrene
"Disease of arteries, arterioles and capilleries",317351012,Shock
"Disease of arteries, arterioles and capilleries",1222508013,[D]Peripheral circulatory failure
