Condition,MedCode,Term
"Disease of arteries, arterioles and capilleries",251699010,H/O: aortic aneurysm
"Disease of arteries, arterioles and capilleries",1795071000000116,Aortic aneurysm monitoring
"Disease of arteries, arterioles and capilleries",173691000006116,Replacement of aneurysmal bifurcation of aorta
"Disease of arteries, arterioles and capilleries",639641000006113,Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to femoral artery
"Disease of arteries, arterioles and capilleries",173461000006110,Replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to femoral artery
"Disease of arteries, arterioles and capilleries",639651000006110,Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery
"Disease of arteries, arterioles and capilleries",349689013,Y graft of abdominal aortic aneurysm - emergency
"Disease of arteries, arterioles and capilleries",173471000006115,Replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery
"Disease of arteries, arterioles and capilleries",410960011,Y graft abdominal Aortic aneurysm
"Disease of arteries, arterioles and capilleries",173711000006118,Replacement of aneurysmal bifurcation of aorta OS
"Disease of arteries, arterioles and capilleries",271430018,Replacement of aneurysmal bifurcation of aorta NOS
"Disease of arteries, arterioles and capilleries",271446014,Emergency replacement of aneurysmal segment of aorta
"Disease of arteries, arterioles and capilleries",271447017,Emergency repair of aortic aneurysm
"Disease of arteries, arterioles and capilleries",639731000006112,Emergency replacement of aneurysmal segment of ascending aorta by anastomosis of aorta to aorta
"Disease of arteries, arterioles and capilleries",639901000006118,Emergency replacement of aneurysmal segment of thoracic aorta by anastomosis of aorta to aorta
"Disease of arteries, arterioles and capilleries",639811000006110,Emergency replacement of aneurysmal segment of infrarenal abdominal aorta by anastomosis of aorta to aorta
"Disease of arteries, arterioles and capilleries",639721000006114,Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",349694013,Tube graft abdominal aortic aneurysm - emergency
"Disease of arteries, arterioles and capilleries",640221000006110,Emergency replacement of aneurysmal segment of aorta OS
"Disease of arteries, arterioles and capilleries",271456013,Emergency replacement of aneurysmal segment of aorta NOS
"Disease of arteries, arterioles and capilleries",394307019,Other replacement of aneurysmal segment of aorta
"Disease of arteries, arterioles and capilleries",349678018,Aortic aneurysm repair
"Disease of arteries, arterioles and capilleries",173451000006113,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173411000006112,Replace aneurys infrarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173441000006111,Replace aneurysm abdominal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",349693019,Tube graft of Abdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",17401000006117,Other replacement of aneurysmal segment of aorta OS
"Disease of arteries, arterioles and capilleries",271470013,Other replacement of aneurysmal segment of aorta NOS
"Disease of arteries, arterioles and capilleries",639351000006118,Emerg bypass abdominal aorta by anastom aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",271511016,Operation on aneurysm of aorta NEC
"Disease of arteries, arterioles and capilleries",356341000000113,Transluminal operations on aneurysmal segment of aorta
"Disease of arteries, arterioles and capilleries",1548161000006117,Repair of infrarenal abdominal aortic aneurysm with insertion of endovascular stent
"Disease of arteries, arterioles and capilleries",359851000000113,Repair of suprarenal abdominal aortic aneurysm with insertion of endovascular stent
"Disease of arteries, arterioles and capilleries",357881000000111,Repair of thoracic aortic aneurysm with insertion of endovascular stent
"Disease of arteries, arterioles and capilleries",488221000000111,Abdominal aortic aneurysm stenting
"Disease of arteries, arterioles and capilleries",1701691000006119,Endovascular insertion of stent for infrarenal abdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",1701701000006119,Endovascular insertion of stent for suprarenal aortic aneurysm
"Disease of arteries, arterioles and capilleries",745471000000118,Endovascular insertion of stent for thoracic aortic aneurysm
"Disease of arteries, arterioles and capilleries",1701731000006110,Endovas insert stent for aortic aneurysm of bifurcation NEC
"Disease of arteries, arterioles and capilleries",384321000000116,Transluminal operations on aneurysmal segment of aorta NOS
"Disease of arteries, arterioles and capilleries",1587731000006116,Transluminal insertion of stent graft for aneurysmal segment of aorta
"Disease of arteries, arterioles and capilleries",1587741000006114,Repair of aorto-uniiliac aneurysm with insertion of endovascular stent graft
"Disease of arteries, arterioles and capilleries",1587751000006111,Endovascular insertion of stent graft for suprarenal aortic aneurysm
"Disease of arteries, arterioles and capilleries",1587761000006113,Repair of thoracic aortic aneurysm with insertion of endovascular stent graft
"Disease of arteries, arterioles and capilleries",1587801000006116,OS translum ins stent graft for aneurysmal segment of aorta
"Disease of arteries, arterioles and capilleries",1587811000006118,Translum ins stent graft for aneurysmal segment of aorta NOS
"Disease of arteries, arterioles and capilleries",46601000006110,Operation on aneurysm visceral branch of abdominal aorta NEC
"Disease of arteries, arterioles and capilleries",470121011,Syphilitic aortic aneurysm
