Condition,MedCode,Term
Eating disorders,94597012,Anorexia nervosa
Eating disorders,527421000006116,Bulimia (non-organic overeating)
Eating disorders,363321000006111,[X]Anorexia nervosa
Eating disorders,366521000006113,[X]Atypical anorexia nervosa
Eating disorders,368051000006111,[X]Bulimia nervosa
Eating disorders,368061000006113,[X]Bulimia NOS
Eating disorders,366541000006118,[X]Atypical bulimia nervosa
Eating disorders,1222496015,[D]Bulimia NOS
