Condition,ReadCode,CleansedReadCode,Term
"Diseases of oesophagus, stomach and duodenum",^ESCTPE270951,,Peptic ulceration
"Diseases of oesophagus, stomach and duodenum",^ESCTBR671775,,BRBPR - Bright red blood per rectum
"Diseases of oesophagus, stomach and duodenum",^ESCTBL527442,,Blood in feces symptom
"Diseases of oesophagus, stomach and duodenum",^ESCT1177678,,Fresh blood passed per rectum
"Diseases of oesophagus, stomach and duodenum",^ESCTOP355585,,Operative procedure on heart
"Diseases of oesophagus, stomach and duodenum",^ESCTCH329662,,Chronic peptic ulcer with hemorrhage
"Diseases of oesophagus, stomach and duodenum",^ESCTFE671776,,Feces: blood
"Diseases of oesophagus, stomach and duodenum",^ESCTUP310216,,Upper gastrointestinal bleeding
"Diseases of oesophagus, stomach and duodenum",79182,7918200,Annuloplasty of valve of heart NEC
"Diseases of oesophagus, stomach and duodenum",791y,791y.00,Heart valve or adjacent structures operations OS
"Diseases of oesophagus, stomach and duodenum",J1311,J131100,Chronic peptic ulcer with haemorrhage
"Diseases of oesophagus, stomach and duodenum",1994-1,1994.11,Blood in vomit - symptom
"Diseases of oesophagus, stomach and duodenum",4737-1,4737.11,Melaena - O/E of faeces
"Diseases of oesophagus, stomach and duodenum",79z,79z..00,Heart operations NOS
"Diseases of oesophagus, stomach and duodenum",19E6-1,19E6.11,Blood in faeces symptom
"Diseases of oesophagus, stomach and duodenum",J68z2,J68z200,Upper gastrointestinal haemorrhage
"Diseases of oesophagus, stomach and duodenum",4762-1,4762.11,Blood in faeces
"Diseases of oesophagus, stomach and duodenum",J1311-99,J131199,PU - chronic + haemorrhage
"Diseases of oesophagus, stomach and duodenum",J680-1,J680.11,Vomiting of blood
"Diseases of oesophagus, stomach and duodenum",^ESCTPU270953,,PU - Peptic ulcer
"Diseases of oesophagus, stomach and duodenum",^ESCTPA671774,,Passage of bloody stools
"Diseases of oesophagus, stomach and duodenum",^ESCTBR671772,,Bright red blood in stool
"Diseases of oesophagus, stomach and duodenum",^ESCTUP310221,,Upper GI - gastrointestinal hemorrhage
"Diseases of oesophagus, stomach and duodenum",J13z,J13z.00,Peptic ulcer NOS
"Diseases of oesophagus, stomach and duodenum",19E6-2,19E6.12,Haematochezia
"Diseases of oesophagus, stomach and duodenum",791z,791z.00,Heart valve and adjacent structures operations NOS
"Diseases of oesophagus, stomach and duodenum",19E6,19E6.00,Blood in faeces
"Diseases of oesophagus, stomach and duodenum",^ESCTUP310217,,Upper GI hemorrhage
"Diseases of oesophagus, stomach and duodenum",^ESCTME557666,,Melaena on examination of faeces
"Diseases of oesophagus, stomach and duodenum",793,793..00,Other parts of heart and pericardium operations
"Diseases of oesophagus, stomach and duodenum",793z,793z.00,Other parts of heart and pericardium operations NOS
"Diseases of oesophagus, stomach and duodenum",J13y,J13y.00,Unspecified peptic ulcer
"Diseases of oesophagus, stomach and duodenum",^ESCTME254515,,Melena
"Diseases of oesophagus, stomach and duodenum",^ESCTME557664,,Melena - O/E of feces
"Diseases of oesophagus, stomach and duodenum",J13-99,J13..99,Peptic ulcer NOS = PU
"Diseases of oesophagus, stomach and duodenum",^ESCTPE270950,,Peptic ulcer disease
"Diseases of oesophagus, stomach and duodenum",^ESCTME557665,,Melena on examination of feces
"Diseases of oesophagus, stomach and duodenum",^ESCTCA355586,,Cardiac surgery procedure
"Diseases of oesophagus, stomach and duodenum",^ESCTVO263983,,Vomiting of blood
"Diseases of oesophagus, stomach and duodenum",^ESCTBL254519,,"Black, tarry stool"
"Diseases of oesophagus, stomach and duodenum",J1312-99,J131299,PU - chronic + perforation
"Diseases of oesophagus, stomach and duodenum",^ESCTPE361988,,Percutaneous valvuloplasty
"Diseases of oesophagus, stomach and duodenum",^ESCTPE361991,,Percutaneous cardiac valvuloplasty
"Diseases of oesophagus, stomach and duodenum",79124,7912400,Repositioning of tricuspid valve
"Diseases of oesophagus, stomach and duodenum",J1313,J131300,Chronic peptic ulcer with haemorrhage AND perforation
"Diseases of oesophagus, stomach and duodenum",J1313-99,J131399,PU - chronic + h'ge + perf.
"Diseases of oesophagus, stomach and duodenum",^ESCTCH349602,,Chronic peptic ulcer with hemorrhage AND perforation
"Diseases of oesophagus, stomach and duodenum",79194,7919400,Percutaneous transluminal valvuloplasty
"Diseases of oesophagus, stomach and duodenum",J1310,J131000,Chronic peptic ulcer without mention of complication
"Diseases of oesophagus, stomach and duodenum",J131y,J131y00,Chronic peptic ulcer unspecified
"Diseases of oesophagus, stomach and duodenum",J131z,J131z00,Chronic peptic ulcer NOS
"Diseases of oesophagus, stomach and duodenum",J1314,J131400,Chronic peptic ulcer with obstruction
"Diseases of oesophagus, stomach and duodenum",J131,J131.00,Chronic peptic ulcer
