Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Chronic lower respiratory diseases,301469018.0,87433001,144964015.0,H32y,H32y.00,Other emphysema
Chronic lower respiratory diseases,396109014.0,266356006,396109014.0,H32y1,H32y100,Atrophic (senile) emphysema
Chronic lower respiratory diseases,1230190015.0,45145000,1230190015.0,H32y2,H32y200,MacLeod's unilateral emphysema
Chronic lower respiratory diseases,396110016.0,87433001,144964015.0,H32yz,H32yz00,Other emphysema NOS
Chronic lower respiratory diseases,301477019.0,87433001,144964015.0,H32z,H32z.00,Emphysema NOS
Chronic lower respiratory diseases,457168017.0,313296004,457168017.0,H36,H36..00,Mild chronic obstructive pulmonary disease
Chronic lower respiratory diseases,457169013.0,313297008,457169013.0,H37,H37..00,Moderate chronic obstructive pulmonary disease
Chronic lower respiratory diseases,216596014.0,135836000,216596014.0,H3A,H3A..00,End stage chronic obstructive airways disease
Chronic lower respiratory diseases,301539010.0,13645005,475428012.0,H3y,H3y..00,Other specified chronic obstructive airways disease
Chronic lower respiratory diseases,1222334016.0,13645005,475431013.0,H3y-1,H3y..11,Other specified chronic obstructive pulmonary disease
Chronic lower respiratory diseases,301545019.0,13645005,475428012.0,H3z,H3z..00,Chronic obstructive airways disease NOS
Chronic lower respiratory diseases,1222335015.0,13645005,475431013.0,H3z-1,H3z..11,Chronic obstructive pulmonary disease NOS
Chronic lower respiratory diseases,301572010.0,196026004,301572010.0,H4640,H464000,Chronic emphysema due to chemical fumes
Chronic lower respiratory diseases,269761000006112.0,196027008,301573017.0,H4641,H464100,Obliterative bronchiolitis due to chemical fumes
Chronic lower respiratory diseases,2240631000000119.2,866901000000103,2240631000000119.2,H5832,H583200,Eosinophilic bronchitis
Chronic lower respiratory diseases,301835010.0,87433001,144964015.0,Hyu30,Hyu3000,[X]Other emphysema
Chronic lower respiratory diseases,301836011.0,13645005,475431013.0,Hyu31,Hyu3100,[X]Other specified chronic obstructive pulmonary disease
Chronic lower respiratory diseases,1012731000006119.0,1012731000006103,1012731000006119.0,ALLERGY3.3,,Adverse reaction to Drugs For Prophylaxis Of Asthma
Chronic lower respiratory diseases,856031000006110.0,856031000006106,856031000006110.0,EMISASC1,,Asthma stable < 3 months
Chronic lower respiratory diseases,856041000006117.0,856041000006101,856041000006117.0,EMISASC2,,Asthma stable > 3 months
Chronic lower respiratory diseases,2131281000000114.0,818161000000104,2131281000000114.0,ESCTAS6,,Asthma trigger - perfume
Chronic lower respiratory diseases,6720721000006111.0,405944004,2157699014.0,^ESCTAS672072,,Asthmatic bronchitis
Chronic lower respiratory diseases,1859261000006116.8,1859261000006101,1859261000006116.8,EMISNQDA36,,Date of asthma diagnosis
Chronic lower respiratory diseases,1769451000000116.0,791401000000104,1769451000000116.0,9N1d0,9N1d000,Seen in school asthma clinic
